ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,85.18,86.05,82.89,85.86,22757
2026-04-15T08:05:00+00:00,85.83,85.96,85.75,85.76,10837
2026-04-15T08:10:00+00:00,85.7,85.88,85.63,85.82,10232
2026-04-15T08:15:00+00:00,85.85,85.85,85.56,85.68,6084
2026-04-15T08:20:00+00:00,85.68,85.85,85.66,85.85,6140
2026-04-15T08:25:00+00:00,85.88,86.14,85.86,86.13,25383
2026-04-15T08:30:00+00:00,86.04,86.25,86.03,86.2,5822
2026-04-15T08:35:00+00:00,86.21,86.31,86.13,86.13,16888
2026-04-15T08:40:00+00:00,86.15,86.3,86.12,86.12,4409
2026-04-15T08:45:00+00:00,86.09,86.14,85.99,86.14,9961
2026-04-15T08:50:00+00:00,86.13,86.23,85.98,86.23,3937
2026-04-15T08:55:00+00:00,86.27,86.39,86.25,86.36,14244
2026-04-15T09:00:00+00:00,86.39,86.39,86.07,86.13,7928
2026-04-15T09:05:00+00:00,86.04,86.04,85.78,85.82,6651
2026-04-15T09:10:00+00:00,85.8,85.9,85.37,85.4,10739
2026-04-15T09:15:00+00:00,85.41,85.64,85.41,85.64,3376
2026-04-15T09:20:00+00:00,85.7,85.72,85.62,85.62,3988
2026-04-15T09:25:00+00:00,85.61,85.63,85.41,85.42,3553
2026-04-15T09:30:00+00:00,85.45,85.63,85.43,85.55,4085
2026-04-15T09:35:00+00:00,85.55,85.55,85.11,85.12,5900
2026-04-15T09:40:00+00:00,85.28,85.43,85.19,85.2,17922
2026-04-15T09:45:00+00:00,85.16,85.22,85.09,85.15,4175
2026-04-15T09:50:00+00:00,85.07,85.13,85.07,85.09,3345
2026-04-15T09:55:00+00:00,85.09,85.09,84.98,84.98,5537
2026-04-15T10:00:00+00:00,84.96,85.07,84.91,85.07,3994
2026-04-15T10:05:00+00:00,85.14,85.46,85.14,85.46,4218
2026-04-15T10:10:00+00:00,85.49,85.53,85.43,85.46,16065
2026-04-15T10:15:00+00:00,85.34,85.34,84.99,84.99,6259
2026-04-15T10:20:00+00:00,84.99,84.99,84.55,84.55,7403
