ts,o,h,l,c,v
2026-04-15T13:30:00+00:00,20.993,21.136,20.672,21.008,264680
2026-04-15T13:35:00+00:00,21.008,21.176,20.899,21.028,353407
2026-04-15T13:40:00+00:00,21.037,21.393,21.028,21.374,405398
2026-04-15T13:45:00+00:00,21.374,21.374,20.978,21.126,212821
2026-04-15T13:50:00+00:00,21.136,21.344,21.077,21.156,174280
2026-04-15T13:55:00+00:00,21.166,21.205,21.067,21.067,211764
2026-04-15T14:00:00+00:00,21.067,21.21,20.948,20.968,190516
2026-04-15T14:05:00+00:00,20.958,21.245,20.958,21.196,184999
2026-04-15T14:10:00+00:00,21.186,21.275,21.161,21.186,146983
2026-04-15T14:15:00+00:00,21.196,21.374,21.186,21.354,186177
2026-04-15T14:20:00+00:00,21.334,21.354,21.047,21.067,108444
2026-04-15T14:25:00+00:00,21.077,21.116,21.008,21.047,112289
2026-04-15T14:30:00+00:00,21.047,21.087,20.963,20.988,77136
2026-04-15T14:35:00+00:00,20.998,21.018,20.835,20.968,147697
2026-04-15T14:40:00+00:00,20.939,20.939,20.78,20.8,71752
2026-04-15T14:45:00+00:00,20.8,20.859,20.79,20.82,75218
2026-04-15T14:50:00+00:00,20.82,20.948,20.805,20.929,89574
2026-04-15T14:55:00+00:00,20.929,21.028,20.914,21.018,91227
2026-04-15T15:00:00+00:00,21.018,21.126,21.018,21.037,197766
2026-04-15T15:05:00+00:00,21.047,21.146,21.037,21.037,116814
2026-04-15T15:10:00+00:00,21.042,21.047,20.919,20.919,74905
2026-04-15T15:15:00+00:00,20.929,21.008,20.929,20.988,38613
2026-04-15T15:20:00+00:00,20.988,21.037,20.958,21.028,47873
2026-04-15T15:25:00+00:00,21.028,21.047,20.978,21.047,33470
2026-04-15T15:30:00+00:00,21.057,21.196,21.057,21.146,82324
2026-04-15T15:35:00+00:00,21.156,21.215,21.146,21.196,82383
2026-04-15T15:40:00+00:00,21.196,21.196,21.087,21.107,64771
2026-04-15T15:45:00+00:00,21.107,21.156,21.077,21.156,39315
2026-04-15T15:50:00+00:00,21.146,21.225,21.146,21.215,90437
2026-04-15T15:55:00+00:00,21.215,21.285,21.21,21.245,91309
