ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,208.306,208.306,206.626,207.021,2472
2026-04-15T08:05:00+00:00,207.021,207.219,206.725,207.219,378
2026-04-15T08:10:00+00:00,207.417,207.516,206.725,206.725,861
2026-04-15T08:15:00+00:00,207.12,207.713,207.12,207.417,321
2026-04-15T08:20:00+00:00,207.318,207.516,207.021,207.021,366
2026-04-15T08:25:00+00:00,206.823,206.823,206.23,206.23,496
2026-04-15T08:30:00+00:00,206.428,206.527,206.131,206.131,456
2026-04-15T08:35:00+00:00,206.033,206.329,205.835,206.329,1111
2026-04-15T08:40:00+00:00,206.329,206.329,206.131,206.329,123
2026-04-15T08:45:00+00:00,206.428,206.626,206.428,206.527,473
2026-04-15T08:50:00+00:00,206.329,206.725,206.033,206.033,566
2026-04-15T08:55:00+00:00,205.934,205.934,205.736,205.835,309
2026-04-15T09:00:00+00:00,205.736,206.527,205.736,206.428,1152
2026-04-15T09:05:00+00:00,206.527,207.219,206.428,207.219,759
2026-04-15T09:10:00+00:00,207.021,208.109,207.021,208.109,1199
2026-04-15T09:15:00+00:00,208.208,208.208,207.516,207.516,623
2026-04-15T09:20:00+00:00,207.516,207.614,207.417,207.614,551
2026-04-15T09:25:00+00:00,207.713,208.208,207.614,208.01,454
2026-04-15T09:30:00+00:00,208.01,208.01,207.614,207.713,159
2026-04-15T09:35:00+00:00,207.812,208.801,207.812,208.702,484
2026-04-15T09:40:00+00:00,208.702,208.702,208.109,208.603,651
2026-04-15T09:45:00+00:00,208.801,208.9,208.603,208.9,246
2026-04-15T09:50:00+00:00,208.998,208.998,208.801,208.998,248
2026-04-15T09:55:00+00:00,208.9,209.196,208.9,209.196,159
2026-04-15T10:00:00+00:00,209.295,209.295,208.801,208.801,626
2026-04-15T10:05:00+00:00,208.801,208.801,207.911,207.911,548
2026-04-15T10:10:00+00:00,207.911,208.109,207.812,208.109,637
2026-04-15T10:15:00+00:00,208.405,209.097,208.405,209.097,770
2026-04-15T10:20:00+00:00,209.295,210.284,209.196,210.284,814
2026-04-15T10:25:00+00:00,210.185,210.778,210.185,210.778,1642
2026-04-15T10:30:00+00:00,210.778,211.174,210.383,210.976,740
2026-04-15T10:35:00+00:00,211.075,211.075,210.383,210.383,906
2026-04-15T10:40:00+00:00,210.383,210.58,209.097,209.196,1242
2026-04-15T10:45:00+00:00,209.295,209.493,208.801,209.295,633
2026-04-15T10:50:00+00:00,209.493,209.691,209.196,209.295,253
2026-04-15T10:55:00+00:00,209.493,209.592,208.801,208.9,210
2026-04-15T11:00:00+00:00,208.9,208.998,208.306,208.9,441
2026-04-15T11:05:00+00:00,208.9,209.295,208.9,209.097,195
2026-04-15T11:10:00+00:00,208.9,208.9,208.504,208.702,699
2026-04-15T11:15:00+00:00,209.097,209.493,209.097,209.493,613
2026-04-15T11:20:00+00:00,209.691,209.789,209.394,209.394,229
2026-04-15T11:25:00+00:00,209.196,209.789,209.196,209.789,204
2026-04-15T11:30:00+00:00,209.987,209.987,209.196,209.394,345
2026-04-15T11:35:00+00:00,209.691,209.789,208.9,209.097,276
2026-04-15T11:40:00+00:00,208.998,209.493,208.998,209.493,151
2026-04-15T11:45:00+00:00,209.493,209.592,207.713,208.998,1928
2026-04-15T11:50:00+00:00,208.998,209.295,208.702,209.097,357
2026-04-15T11:55:00+00:00,209.097,209.592,208.998,209.592,325
2026-04-15T12:00:00+00:00,209.592,210.679,209.592,210.679,1525
2026-04-15T12:05:00+00:00,210.877,211.371,210.679,211.174,1334
2026-04-15T12:10:00+00:00,211.174,212.459,211.174,212.36,1860
2026-04-15T12:15:00+00:00,212.755,212.943,212.063,212.36,940
2026-04-15T12:20:00+00:00,212.36,212.36,212.063,212.063,550
2026-04-15T12:25:00+00:00,212.063,212.558,212.063,212.261,921
2026-04-15T12:30:00+00:00,212.36,212.36,211.272,211.272,788
2026-04-15T12:35:00+00:00,211.183,211.183,210.679,210.679,673
2026-04-15T12:40:00+00:00,210.778,210.976,210.185,210.481,873
2026-04-15T12:45:00+00:00,210.58,211.075,210.58,210.976,1017
2026-04-15T12:50:00+00:00,210.976,211.361,210.778,211.075,457
2026-04-15T12:55:00+00:00,210.976,211.174,210.58,211.174,269
2026-04-15T13:00:00+00:00,211.075,211.964,211.075,211.569,558
2026-04-15T13:05:00+00:00,211.668,211.964,211.668,211.668,592
2026-04-15T13:10:00+00:00,211.668,211.668,210.58,210.679,1304
2026-04-15T13:15:00+00:00,210.58,211.075,210.284,210.877,651
2026-04-15T13:20:00+00:00,210.877,211.371,210.877,211.371,151
2026-04-15T13:25:00+00:00,211.272,211.272,209.78,209.987,1121
2026-04-15T13:30:00+00:00,209.938,211.371,206.725,210.086,26468
2026-04-15T13:35:00+00:00,210.086,211.767,208.998,210.284,35340
2026-04-15T13:40:00+00:00,210.383,213.942,210.284,213.744,40539
2026-04-15T13:45:00+00:00,213.744,213.744,209.789,211.272,21282
2026-04-15T13:50:00+00:00,211.371,213.447,210.778,211.569,17428
2026-04-15T13:55:00+00:00,211.668,212.063,210.679,210.679,21176
2026-04-15T14:00:00+00:00,210.679,212.113,209.493,209.691,19051
2026-04-15T14:05:00+00:00,209.592,212.459,209.592,211.964,18499
2026-04-15T14:10:00+00:00,211.866,212.755,211.618,211.866,14698
2026-04-15T14:15:00+00:00,211.964,213.744,211.866,213.546,18617
2026-04-15T14:20:00+00:00,213.349,213.546,210.481,210.679,10844
2026-04-15T14:25:00+00:00,210.778,211.174,210.086,210.481,11228
2026-04-15T14:30:00+00:00,210.481,210.877,209.641,209.888,7713
2026-04-15T14:35:00+00:00,209.987,210.185,208.356,209.691,14769
2026-04-15T14:40:00+00:00,209.394,209.394,207.812,208.01,7175
2026-04-15T14:45:00+00:00,208.01,208.603,207.911,208.208,7521
2026-04-15T14:50:00+00:00,208.208,209.493,208.059,209.295,8957
2026-04-15T14:55:00+00:00,209.295,210.284,209.147,210.185,9122
2026-04-15T15:00:00+00:00,210.185,211.272,210.185,210.383,19776
2026-04-15T15:05:00+00:00,210.481,211.47,210.383,210.383,11681
2026-04-15T15:10:00+00:00,210.432,210.481,209.196,209.196,7490
2026-04-15T15:15:00+00:00,209.295,210.086,209.295,209.888,3861
2026-04-15T15:20:00+00:00,209.888,210.383,209.592,210.284,4787
2026-04-15T15:25:00+00:00,210.284,210.481,209.789,210.481,3347
2026-04-15T15:30:00+00:00,210.58,211.964,210.58,211.47,8232
2026-04-15T15:35:00+00:00,211.569,212.162,211.47,211.964,8238
2026-04-15T15:40:00+00:00,211.964,211.964,210.877,211.075,6477
2026-04-15T15:45:00+00:00,211.075,211.569,210.778,211.569,3931
2026-04-15T15:50:00+00:00,211.47,212.261,211.47,212.162,9043
2026-04-15T15:55:00+00:00,212.162,212.854,212.113,212.459,9130
2026-04-15T16:00:00+00:00,212.459,212.953,212.162,212.755,8442
2026-04-15T16:05:00+00:00,212.854,212.953,211.866,211.866,5502
2026-04-15T16:10:00+00:00,212.063,212.36,211.866,212.063,2744
2026-04-15T16:15:00+00:00,211.964,212.459,211.47,211.47,3026
2026-04-15T16:20:00+00:00,211.47,211.668,211.174,211.668,2884
2026-04-15T16:25:00+00:00,211.964,213.447,211.964,213.349,6884
2026-04-15T16:30:00+00:00,213.349,214.733,213.25,214.436,9532
2026-04-15T16:35:00+00:00,214.436,215.326,214.041,215.326,7184
2026-04-15T16:40:00+00:00,215.326,217.995,215.326,217.6,30145
2026-04-15T16:45:00+00:00,217.501,219.28,217.303,217.995,23930
2026-04-15T16:50:00+00:00,217.995,221.06,217.402,220.862,29267
2026-04-15T16:55:00+00:00,220.763,221.653,218.44,218.786,26845
2026-04-15T17:00:00+00:00,218.786,219.181,217.896,217.995,11075
2026-04-15T17:05:00+00:00,217.995,217.995,216.71,217.006,19286
2026-04-15T17:10:00+00:00,216.908,217.6,216.562,216.997,5503
2026-04-15T17:15:00+00:00,217.006,217.204,216.611,217.204,4067
2026-04-15T17:20:00+00:00,217.204,217.501,217.006,217.402,5816
2026-04-15T17:25:00+00:00,217.303,217.402,216.809,217.254,4778
2026-04-15T17:30:00+00:00,217.204,217.204,216.018,216.018,5134
2026-04-15T17:35:00+00:00,216.018,216.512,215.622,216.512,4918
2026-04-15T17:40:00+00:00,216.512,217.6,216.413,217.6,6361
2026-04-15T17:45:00+00:00,217.501,217.501,216.759,216.809,3225
2026-04-15T17:50:00+00:00,216.809,216.809,216.117,216.216,2806
2026-04-15T17:55:00+00:00,216.314,216.908,216.216,216.809,1615
2026-04-15T18:00:00+00:00,216.809,217.501,215.227,216.413,24120
2026-04-15T18:05:00+00:00,216.512,216.71,215.721,216.314,3922
2026-04-15T18:10:00+00:00,216.314,216.611,215.425,215.82,2992
2026-04-15T18:15:00+00:00,215.82,215.82,214.93,215.524,5771
2026-04-15T18:20:00+00:00,215.425,215.82,214.93,214.93,3598
2026-04-15T18:25:00+00:00,214.93,215.326,214.634,214.831,5320
2026-04-15T18:30:00+00:00,214.782,214.782,214.238,214.436,3786
2026-04-15T18:35:00+00:00,214.436,214.436,213.744,214.041,4925
2026-04-15T18:40:00+00:00,214.139,214.634,214.139,214.634,2980
2026-04-15T18:45:00+00:00,214.535,214.93,214.535,214.535,2840
2026-04-15T18:50:00+00:00,214.485,214.485,214.041,214.139,3268
2026-04-15T18:55:00+00:00,214.139,214.139,213.645,213.744,3377
2026-04-15T19:00:00+00:00,213.744,213.942,213.299,213.299,3899
2026-04-15T19:05:00+00:00,213.25,213.25,211.964,212.063,5944
2026-04-15T19:10:00+00:00,211.964,212.162,211.618,211.964,7603
2026-04-15T19:15:00+00:00,211.964,211.964,211.47,211.47,4911
2026-04-15T19:20:00+00:00,211.47,211.618,211.223,211.371,5131
2026-04-15T19:25:00+00:00,211.322,211.371,210.481,210.481,5263
2026-04-15T19:30:00+00:00,210.432,210.432,209.196,209.295,12042
2026-04-15T19:35:00+00:00,209.295,209.987,209.097,209.987,6414
2026-04-15T19:40:00+00:00,210.086,210.481,209.789,210.086,9304
2026-04-15T19:45:00+00:00,210.185,210.383,209.443,209.592,5170
2026-04-15T19:50:00+00:00,209.542,209.542,208.405,208.405,14859
2026-04-15T19:55:00+00:00,208.356,208.356,206.725,207.021,21831
2026-04-15T20:00:00+00:00,206.922,207.812,206.922,207.812,699
2026-04-15T20:05:00+00:00,207.713,208.198,207.713,208.198,308
2026-04-15T20:10:00+00:00,208.198,208.405,208.01,208.405,111
2026-04-15T20:15:00+00:00,208.208,208.297,207.911,208.297,158
2026-04-15T20:20:00+00:00,208.306,208.504,208.109,208.504,378
2026-04-15T20:25:00+00:00,208.504,208.504,208.109,208.109,66
2026-04-15T20:30:00+00:00,208.109,208.306,208.109,208.306,215
2026-04-15T20:35:00+00:00,208.405,208.405,208.208,208.405,290
2026-04-15T20:40:00+00:00,208.405,208.603,208.405,208.603,129
2026-04-15T20:45:00+00:00,208.702,208.702,208.603,208.603,390
2026-04-15T20:50:00+00:00,208.801,208.801,208.603,208.603,181
2026-04-15T20:55:00+00:00,208.603,208.603,208.603,208.603,65
2026-04-15T21:00:00+00:00,208.603,208.603,208.603,208.603,22
2026-04-15T21:05:00+00:00,208.603,208.603,208.603,208.603,0
2026-04-15T21:10:00+00:00,208.603,208.603,208.603,208.603,35
2026-04-15T21:15:00+00:00,208.514,208.514,208.415,208.415,854
2026-04-15T21:20:00+00:00,208.415,208.415,208.405,208.405,63
2026-04-15T21:25:00+00:00,208.405,208.405,208.208,208.208,228
2026-04-15T21:30:00+00:00,208.306,208.306,208.208,208.208,50
2026-04-15T21:35:00+00:00,208.208,208.208,208.208,208.208,7
2026-04-15T21:40:00+00:00,208.208,208.208,208.208,208.208,0
2026-04-15T21:45:00+00:00,208.306,208.306,208.306,208.306,20
2026-04-15T21:50:00+00:00,208.208,208.217,208.208,208.217,70
2026-04-15T21:55:00+00:00,208.217,208.217,208.217,208.217,0
2026-04-15T22:00:00+00:00,208.217,208.405,208.217,208.306,167
2026-04-15T22:05:00+00:00,208.01,208.01,207.911,207.911,164
2026-04-15T22:10:00+00:00,207.96,208.01,207.96,208.01,36
2026-04-15T22:15:00+00:00,208.01,208.01,207.812,207.812,655
2026-04-15T22:20:00+00:00,207.713,207.713,207.713,207.713,108
2026-04-15T22:25:00+00:00,207.713,207.713,207.713,207.713,21
2026-04-15T22:30:00+00:00,207.713,207.713,207.713,207.713,13
2026-04-15T22:35:00+00:00,207.614,207.614,207.516,207.614,452
2026-04-15T22:40:00+00:00,207.427,207.427,207.417,207.417,50
2026-04-15T22:45:00+00:00,207.516,207.516,207.516,207.516,151
2026-04-15T22:50:00+00:00,207.516,207.516,207.417,207.417,91
2026-04-15T22:55:00+00:00,207.417,207.417,207.417,207.417,10
2026-04-15T23:00:00+00:00,207.318,207.318,207.318,207.318,393
2026-04-15T23:05:00+00:00,207.417,207.417,207.417,207.417,24
2026-04-15T23:10:00+00:00,207.417,207.417,207.417,207.417,21
2026-04-15T23:15:00+00:00,207.417,207.417,207.318,207.318,200
2026-04-15T23:20:00+00:00,207.318,207.318,207.318,207.318,0
2026-04-15T23:25:00+00:00,207.516,207.516,207.516,207.516,46
2026-04-15T23:30:00+00:00,207.614,207.614,207.614,207.614,144
2026-04-15T23:35:00+00:00,207.614,207.614,207.417,207.417,17
2026-04-15T23:40:00+00:00,207.318,207.318,207.318,207.318,52
2026-04-15T23:45:00+00:00,207.268,207.268,207.219,207.219,219
2026-04-15T23:50:00+00:00,207.12,207.12,207.12,207.12,546
2026-04-15T23:55:00+00:00,207.12,207.516,207.12,207.516,156
2026-04-16T08:00:00+00:00,202.77,203.166,202.572,203.166,1614
2026-04-16T08:05:00+00:00,203.264,204.451,203.264,203.858,1072
2026-04-16T08:10:00+00:00,204.055,204.648,203.66,204.451,590
2026-04-16T08:15:00+00:00,204.451,204.747,204.451,204.648,385
2026-04-16T08:20:00+00:00,204.55,204.55,204.253,204.253,360
2026-04-16T08:25:00+00:00,204.253,204.846,204.253,204.55,351
2026-04-16T08:30:00+00:00,204.55,204.747,204.55,204.747,145
2026-04-16T08:35:00+00:00,205.341,205.538,205.143,205.242,675
2026-04-16T08:40:00+00:00,205.242,205.439,204.451,204.451,590
2026-04-16T08:45:00+00:00,204.352,204.352,204.055,204.253,340
2026-04-16T08:50:00+00:00,204.352,204.945,204.352,204.55,1473
2026-04-16T08:55:00+00:00,204.55,204.55,204.154,204.154,341
2026-04-16T09:00:00+00:00,204.253,204.352,203.956,203.956,223
2026-04-16T09:05:00+00:00,204.154,204.352,204.154,204.352,62
2026-04-16T09:10:00+00:00,203.858,203.956,203.759,203.858,167
2026-04-16T09:15:00+00:00,203.956,204.055,203.858,203.956,185
2026-04-16T09:20:00+00:00,203.956,204.154,203.956,204.154,448
2026-04-16T09:25:00+00:00,204.154,204.253,204.154,204.253,281
2026-04-16T09:30:00+00:00,204.253,204.253,204.154,204.253,368
2026-04-16T09:35:00+00:00,204.154,204.154,203.858,203.956,793
2026-04-16T09:40:00+00:00,203.858,204.253,203.858,204.253,229
2026-04-16T09:45:00+00:00,204.352,204.747,204.352,204.747,251
2026-04-16T09:50:00+00:00,204.648,204.648,204.55,204.55,174
2026-04-16T09:55:00+00:00,204.55,205.044,204.55,204.945,256
2026-04-16T10:00:00+00:00,204.945,204.945,204.747,204.747,484
2026-04-16T10:05:00+00:00,204.747,205.143,204.747,205.044,452
2026-04-16T10:10:00+00:00,205.044,205.637,205.044,205.637,508
2026-04-16T10:15:00+00:00,205.637,206.033,205.637,206.033,279
2026-04-16T10:20:00+00:00,205.934,206.725,205.934,206.725,944
2026-04-16T10:25:00+00:00,206.527,206.725,205.736,206.428,2213
2026-04-16T10:30:00+00:00,206.626,209.592,206.626,209.394,2985
2026-04-16T10:35:00+00:00,209.196,210.185,209.196,209.592,1820
2026-04-16T10:40:00+00:00,209.592,211.174,209.493,211.075,2549
2026-04-16T10:45:00+00:00,211.075,212.656,210.778,210.976,4035
2026-04-16T10:50:00+00:00,211.075,211.174,209.987,209.987,1855
2026-04-16T10:55:00+00:00,209.987,209.987,209.196,209.493,564
2026-04-16T11:00:00+00:00,209.493,209.789,209.097,209.196,807
2026-04-16T11:05:00+00:00,209.097,209.493,209.097,209.493,617
2026-04-16T11:10:00+00:00,209.394,210.076,209.097,209.789,745
2026-04-16T11:15:00+00:00,209.691,209.691,209.295,209.493,308
2026-04-16T11:20:00+00:00,209.394,209.987,209.394,209.987,218
2026-04-16T11:25:00+00:00,210.086,211.075,210.086,210.284,644
2026-04-16T11:30:00+00:00,209.789,209.789,209.295,209.295,581
2026-04-16T11:35:00+00:00,209.295,210.185,209.295,210.185,371
2026-04-16T11:40:00+00:00,210.284,210.383,210.086,210.185,365
2026-04-16T11:45:00+00:00,210.086,210.383,209.987,210.284,335
2026-04-16T11:50:00+00:00,209.789,209.987,209.592,209.691,639
2026-04-16T11:55:00+00:00,209.691,209.987,209.592,209.691,473
2026-04-16T12:00:00+00:00,209.799,209.799,209.295,209.295,701
2026-04-16T12:05:00+00:00,209.295,210.086,209.196,209.888,1232
2026-04-16T12:10:00+00:00,209.493,209.888,209.493,209.789,249
2026-04-16T12:15:00+00:00,209.789,210.481,209.789,210.481,630
2026-04-16T12:20:00+00:00,210.383,210.481,210.086,210.284,384
2026-04-16T12:25:00+00:00,210.185,210.383,210.185,210.185,251
2026-04-16T12:30:00+00:00,210.185,210.284,209.987,209.987,153
2026-04-16T12:35:00+00:00,209.888,211.174,209.789,211.174,452
2026-04-16T12:40:00+00:00,211.371,211.569,211.075,211.371,2400
2026-04-16T12:45:00+00:00,211.174,211.856,211.174,211.47,714
2026-04-16T12:50:00+00:00,211.371,212.162,211.371,212.162,1240
2026-04-16T12:55:00+00:00,212.063,212.063,211.371,211.866,619
2026-04-16T13:00:00+00:00,211.866,211.866,211.174,211.47,1975
2026-04-16T13:05:00+00:00,211.47,211.47,210.679,210.976,2571
2026-04-16T13:10:00+00:00,211.47,211.964,211.47,211.569,996
2026-04-16T13:15:00+00:00,211.668,211.668,209.394,209.691,3472
2026-04-16T13:20:00+00:00,209.691,210.481,209.592,210.383,1072
2026-04-16T13:25:00+00:00,210.481,210.58,208.801,209.196,4655
