ts,o,h,l,c,v
2026-04-15T13:30:00+00:00,11.599,11.609,11.341,11.48,988205
2026-04-15T13:35:00+00:00,11.48,11.629,11.47,11.579,315202
2026-04-15T13:40:00+00:00,11.589,11.668,11.589,11.619,556264
2026-04-15T13:45:00+00:00,11.619,11.797,11.619,11.758,512024
2026-04-15T13:50:00+00:00,11.758,11.877,11.723,11.867,549030
2026-04-15T13:55:00+00:00,11.867,11.896,11.827,11.837,418728
2026-04-15T14:00:00+00:00,11.837,11.946,11.807,11.936,384004
2026-04-15T14:05:00+00:00,11.936,12.025,11.901,12.025,400433
2026-04-15T14:10:00+00:00,12.035,12.199,12.035,12.174,502091
2026-04-15T14:15:00+00:00,12.179,12.283,12.174,12.179,524844
2026-04-15T14:20:00+00:00,12.184,12.229,12.105,12.224,589603
2026-04-15T14:25:00+00:00,12.219,12.259,12.174,12.224,433350
2026-04-15T14:30:00+00:00,12.229,12.358,12.229,12.293,448855
2026-04-15T14:35:00+00:00,12.293,12.363,12.219,12.219,425717
2026-04-15T14:40:00+00:00,12.219,12.254,12.199,12.254,299005
2026-04-15T14:45:00+00:00,12.254,12.274,12.219,12.264,258918
2026-04-15T14:50:00+00:00,12.254,12.373,12.249,12.363,398028
2026-04-15T14:55:00+00:00,12.373,12.556,12.373,12.512,584618
2026-04-15T15:00:00+00:00,12.517,12.591,12.447,12.551,444244
2026-04-15T15:05:00+00:00,12.556,12.586,12.482,12.492,274716
2026-04-15T15:10:00+00:00,12.492,12.68,12.492,12.68,386169
2026-04-15T15:15:00+00:00,12.67,12.75,12.665,12.74,342402
2026-04-15T15:20:00+00:00,12.74,12.938,12.705,12.938,504709
2026-04-15T15:25:00+00:00,12.938,13.028,12.899,12.973,570631
2026-04-15T15:30:00+00:00,12.973,13.052,12.913,13.028,529922
2026-04-15T15:35:00+00:00,13.033,13.147,13.013,13.122,539802
2026-04-15T15:40:00+00:00,13.127,13.315,13.127,13.211,493896
2026-04-15T15:45:00+00:00,13.216,13.266,13.142,13.266,394422
2026-04-15T15:50:00+00:00,13.256,13.281,13.092,13.117,441741
2026-04-15T15:55:00+00:00,13.107,13.196,13.047,13.186,489361
2026-04-15T16:00:00+00:00,13.181,13.201,13.102,13.117,384055
2026-04-15T16:05:00+00:00,13.112,13.157,13.082,13.097,379987
2026-04-15T16:10:00+00:00,13.087,13.137,13.072,13.107,217948
2026-04-15T16:15:00+00:00,13.107,13.186,13.107,13.166,233128
2026-04-15T16:20:00+00:00,13.162,13.345,13.152,13.3,375950
2026-04-15T16:25:00+00:00,13.295,13.33,13.236,13.251,321487
2026-04-15T16:30:00+00:00,13.246,13.256,13.132,13.152,347666
2026-04-15T16:35:00+00:00,13.147,13.191,13.137,13.171,202584
2026-04-15T16:40:00+00:00,13.176,13.176,12.943,12.958,288832
2026-04-15T16:45:00+00:00,12.963,12.998,12.913,12.998,252088
2026-04-15T16:50:00+00:00,12.998,13.047,12.884,12.899,259460
2026-04-15T16:55:00+00:00,12.899,12.958,12.854,12.913,265794
2026-04-15T17:00:00+00:00,12.909,12.909,12.819,12.889,215391
2026-04-15T17:05:00+00:00,12.889,12.963,12.874,12.899,280917
2026-04-15T17:10:00+00:00,12.899,12.938,12.864,12.899,197450
2026-04-15T17:15:00+00:00,12.889,12.958,12.879,12.958,132116
2026-04-15T17:20:00+00:00,12.958,12.958,12.864,12.899,97438
2026-04-15T17:25:00+00:00,12.899,12.909,12.874,12.894,135036
2026-04-15T17:30:00+00:00,12.889,12.938,12.859,12.879,237499
2026-04-15T17:35:00+00:00,12.879,12.909,12.864,12.889,116964
2026-04-15T17:40:00+00:00,12.889,12.909,12.859,12.889,107871
2026-04-15T17:45:00+00:00,12.899,12.968,12.899,12.918,114967
2026-04-15T17:50:00+00:00,12.928,13.042,12.923,13.038,184983
2026-04-15T17:55:00+00:00,13.038,13.038,12.933,12.948,153608
2026-04-15T18:00:00+00:00,12.948,12.968,12.889,12.948,190079
2026-04-15T18:05:00+00:00,12.948,13.018,12.948,13.008,115714
2026-04-15T18:10:00+00:00,13.008,13.097,13.008,13.082,174595
2026-04-15T18:15:00+00:00,13.087,13.107,13.028,13.028,86717
2026-04-15T18:20:00+00:00,13.028,13.042,12.998,13.038,79563
2026-04-15T18:25:00+00:00,13.028,13.067,13.028,13.057,83123
2026-04-15T18:30:00+00:00,13.057,13.082,13.047,13.072,63268
2026-04-15T18:35:00+00:00,13.077,13.077,13.008,13.028,206893
2026-04-15T18:40:00+00:00,13.038,13.137,13.038,13.137,168554
2026-04-15T18:45:00+00:00,13.127,13.137,13.097,13.117,103737
2026-04-15T18:50:00+00:00,13.112,13.132,13.097,13.097,232063
2026-04-15T18:55:00+00:00,13.087,13.102,13.062,13.067,195828
2026-04-15T19:00:00+00:00,13.077,13.166,13.057,13.166,197982
2026-04-15T19:05:00+00:00,13.171,13.191,13.162,13.186,169704
2026-04-15T19:10:00+00:00,13.176,13.186,13.112,13.127,172932
2026-04-15T19:15:00+00:00,13.117,13.166,13.087,13.166,190502
2026-04-15T19:20:00+00:00,13.171,13.201,13.147,13.186,196418
2026-04-15T19:25:00+00:00,13.186,13.216,13.176,13.216,178154
2026-04-15T19:30:00+00:00,13.211,13.241,13.176,13.236,112050
2026-04-15T19:35:00+00:00,13.236,13.3,13.231,13.266,251890
2026-04-15T19:40:00+00:00,13.266,13.33,13.236,13.33,227169
2026-04-15T19:45:00+00:00,13.33,13.35,13.3,13.325,204140
2026-04-15T19:50:00+00:00,13.33,13.345,13.191,13.201,1251607
2026-04-15T19:55:00+00:00,13.206,13.226,13.157,13.186,447376
2026-04-16T13:30:00+00:00,13.295,13.325,12.968,13.003,1357616
2026-04-16T13:35:00+00:00,13.008,13.038,12.74,12.789,793117
2026-04-16T13:40:00+00:00,12.789,12.918,12.665,12.879,722880
2026-04-16T13:45:00+00:00,12.879,12.889,12.7,12.75,557567
2026-04-16T13:50:00+00:00,12.74,12.75,12.541,12.581,624361
2026-04-16T13:55:00+00:00,12.581,12.641,12.507,12.571,505303
