ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,11.569,11.599,11.559,11.599,11943
2026-04-15T08:05:00+00:00,11.599,11.639,11.589,11.589,22589
2026-04-15T08:10:00+00:00,11.589,11.599,11.579,11.589,16152
2026-04-15T08:15:00+00:00,11.579,11.609,11.579,11.609,3932
2026-04-15T08:20:00+00:00,11.609,11.619,11.599,11.609,32316
2026-04-15T08:25:00+00:00,11.619,11.629,11.619,11.629,14504
2026-04-15T08:30:00+00:00,11.639,11.639,11.629,11.629,12748
2026-04-15T08:35:00+00:00,11.629,11.629,11.619,11.629,8153
2026-04-15T08:40:00+00:00,11.639,11.639,11.629,11.639,10421
2026-04-15T08:45:00+00:00,11.639,11.668,11.639,11.668,5390
2026-04-15T08:50:00+00:00,11.668,11.678,11.658,11.668,23928
2026-04-15T08:55:00+00:00,11.678,11.678,11.648,11.648,8182
2026-04-15T09:00:00+00:00,11.658,11.668,11.629,11.639,17663
2026-04-15T09:05:00+00:00,11.629,11.639,11.619,11.629,17121
2026-04-15T09:10:00+00:00,11.629,11.629,11.599,11.619,20988
2026-04-15T09:15:00+00:00,11.629,11.629,11.609,11.609,6281
2026-04-15T09:20:00+00:00,11.619,11.619,11.609,11.609,10122
2026-04-15T09:25:00+00:00,11.619,11.619,11.589,11.599,8668
2026-04-15T09:30:00+00:00,11.599,11.599,11.599,11.599,1791
2026-04-15T09:35:00+00:00,11.609,11.609,11.589,11.589,4332
2026-04-15T09:40:00+00:00,11.589,11.599,11.569,11.569,13166
2026-04-15T09:45:00+00:00,11.569,11.569,11.559,11.569,8582
2026-04-15T09:50:00+00:00,11.569,11.569,11.549,11.559,7946
2026-04-15T09:55:00+00:00,11.549,11.549,11.549,11.549,5359
2026-04-15T10:00:00+00:00,11.549,11.559,11.549,11.559,11703
2026-04-15T10:05:00+00:00,11.569,11.609,11.569,11.609,6447
2026-04-15T10:10:00+00:00,11.609,11.609,11.599,11.599,1184
2026-04-15T10:15:00+00:00,11.589,11.599,11.559,11.569,22248
2026-04-15T10:20:00+00:00,11.559,11.559,11.519,11.519,11771
2026-04-15T10:25:00+00:00,11.519,11.529,11.49,11.5,27953
2026-04-15T10:30:00+00:00,11.5,11.5,11.47,11.47,9222
2026-04-15T10:35:00+00:00,11.46,11.48,11.45,11.48,12758
2026-04-15T10:40:00+00:00,11.48,11.5,11.46,11.5,27977
2026-04-15T10:45:00+00:00,11.5,11.529,11.5,11.519,8091
2026-04-15T10:50:00+00:00,11.519,11.519,11.5,11.51,8052
2026-04-15T10:55:00+00:00,11.51,11.529,11.51,11.519,4314
2026-04-15T11:00:00+00:00,11.519,11.549,11.519,11.529,48087
2026-04-15T11:05:00+00:00,11.529,11.529,11.519,11.529,13093
2026-04-15T11:10:00+00:00,11.549,11.549,11.549,11.549,6102
2026-04-15T11:15:00+00:00,11.549,11.559,11.529,11.529,12291
2026-04-15T11:20:00+00:00,11.539,11.549,11.539,11.549,2179
2026-04-15T11:25:00+00:00,11.549,11.549,11.539,11.539,7034
2026-04-15T11:30:00+00:00,11.539,11.579,11.539,11.579,27738
2026-04-15T11:35:00+00:00,11.579,11.58,11.579,11.58,3724
2026-04-15T11:40:00+00:00,11.589,11.589,11.559,11.559,24019
2026-04-15T11:45:00+00:00,11.559,11.609,11.559,11.589,99525
2026-04-15T11:50:00+00:00,11.599,11.619,11.599,11.619,19657
2026-04-15T11:55:00+00:00,11.609,11.619,11.609,11.609,11562
2026-04-15T12:00:00+00:00,11.599,11.609,11.598,11.6,14804
2026-04-15T12:05:00+00:00,11.589,11.589,11.579,11.589,18213
2026-04-15T12:10:00+00:00,11.589,11.589,11.569,11.569,22427
2026-04-15T12:15:00+00:00,11.569,11.579,11.569,11.579,5976
2026-04-15T12:20:00+00:00,11.579,11.579,11.579,11.579,3963
2026-04-15T12:25:00+00:00,11.579,11.579,11.569,11.579,6077
2026-04-15T12:30:00+00:00,11.579,11.579,11.569,11.579,108247
2026-04-15T12:35:00+00:00,11.579,11.599,11.579,11.599,8821
2026-04-15T12:40:00+00:00,11.599,11.609,11.599,11.609,9386
2026-04-15T12:45:00+00:00,11.619,11.619,11.609,11.619,6630
2026-04-15T12:50:00+00:00,11.619,11.619,11.609,11.609,6181
2026-04-15T12:55:00+00:00,11.619,11.629,11.619,11.619,7849
2026-04-15T13:00:00+00:00,11.619,11.619,11.609,11.619,8055
2026-04-15T13:05:00+00:00,11.619,11.619,11.599,11.599,18343
2026-04-15T13:10:00+00:00,11.589,11.609,11.589,11.609,7315
2026-04-15T13:15:00+00:00,11.609,11.619,11.599,11.599,25025
2026-04-15T13:20:00+00:00,11.609,11.619,11.609,11.609,10369
2026-04-15T13:25:00+00:00,11.609,11.678,11.609,11.609,120762
2026-04-15T13:30:00+00:00,11.599,11.609,11.341,11.48,988205
2026-04-15T13:35:00+00:00,11.48,11.629,11.47,11.579,315202
2026-04-15T13:40:00+00:00,11.589,11.668,11.589,11.619,556264
2026-04-15T13:45:00+00:00,11.619,11.797,11.619,11.758,512024
2026-04-15T13:50:00+00:00,11.758,11.877,11.723,11.867,549030
2026-04-15T13:55:00+00:00,11.867,11.896,11.827,11.837,418728
2026-04-15T14:00:00+00:00,11.837,11.946,11.807,11.936,384004
2026-04-15T14:05:00+00:00,11.936,12.025,11.901,12.025,400433
2026-04-15T14:10:00+00:00,12.035,12.199,12.035,12.174,502091
2026-04-15T14:15:00+00:00,12.179,12.283,12.174,12.179,524844
2026-04-15T14:20:00+00:00,12.184,12.229,12.105,12.224,589603
2026-04-15T14:25:00+00:00,12.219,12.259,12.174,12.224,433350
2026-04-15T14:30:00+00:00,12.229,12.358,12.229,12.293,448855
2026-04-15T14:35:00+00:00,12.293,12.363,12.219,12.219,425717
2026-04-15T14:40:00+00:00,12.219,12.254,12.199,12.254,299005
2026-04-15T14:45:00+00:00,12.254,12.274,12.219,12.264,258918
2026-04-15T14:50:00+00:00,12.254,12.373,12.249,12.363,398028
2026-04-15T14:55:00+00:00,12.373,12.556,12.373,12.512,584618
2026-04-15T15:00:00+00:00,12.517,12.591,12.447,12.551,444244
2026-04-15T15:05:00+00:00,12.556,12.586,12.482,12.492,274716
2026-04-15T15:10:00+00:00,12.492,12.68,12.492,12.68,386169
2026-04-15T15:15:00+00:00,12.67,12.75,12.665,12.74,342402
2026-04-15T15:20:00+00:00,12.74,12.938,12.705,12.938,504709
2026-04-15T15:25:00+00:00,12.938,13.028,12.899,12.973,570631
2026-04-15T15:30:00+00:00,12.973,13.052,12.913,13.028,529922
2026-04-15T15:35:00+00:00,13.033,13.147,13.013,13.122,539802
2026-04-15T15:40:00+00:00,13.127,13.315,13.127,13.211,493896
2026-04-15T15:45:00+00:00,13.216,13.266,13.142,13.266,394422
2026-04-15T15:50:00+00:00,13.256,13.281,13.092,13.117,441741
2026-04-15T15:55:00+00:00,13.107,13.196,13.047,13.186,489361
2026-04-15T16:00:00+00:00,13.181,13.201,13.102,13.117,384055
2026-04-15T16:05:00+00:00,13.112,13.157,13.082,13.097,379987
2026-04-15T16:10:00+00:00,13.087,13.137,13.072,13.107,217948
2026-04-15T16:15:00+00:00,13.107,13.186,13.107,13.166,233128
2026-04-15T16:20:00+00:00,13.162,13.345,13.152,13.3,375950
2026-04-15T16:25:00+00:00,13.295,13.33,13.236,13.251,321487
2026-04-15T16:30:00+00:00,13.246,13.256,13.132,13.152,347666
2026-04-15T16:35:00+00:00,13.147,13.191,13.137,13.171,202584
2026-04-15T16:40:00+00:00,13.176,13.176,12.943,12.958,288832
2026-04-15T16:45:00+00:00,12.963,12.998,12.913,12.998,252088
2026-04-15T16:50:00+00:00,12.998,13.047,12.884,12.899,259460
2026-04-15T16:55:00+00:00,12.899,12.958,12.854,12.913,265794
2026-04-15T17:00:00+00:00,12.909,12.909,12.819,12.889,215391
2026-04-15T17:05:00+00:00,12.889,12.963,12.874,12.899,280917
2026-04-15T17:10:00+00:00,12.899,12.938,12.864,12.899,197450
2026-04-15T17:15:00+00:00,12.889,12.958,12.879,12.958,132116
2026-04-15T17:20:00+00:00,12.958,12.958,12.864,12.899,97438
2026-04-15T17:25:00+00:00,12.899,12.909,12.874,12.894,135036
2026-04-15T17:30:00+00:00,12.889,12.938,12.859,12.879,237499
2026-04-15T17:35:00+00:00,12.879,12.909,12.864,12.889,116964
2026-04-15T17:40:00+00:00,12.889,12.909,12.859,12.889,107871
2026-04-15T17:45:00+00:00,12.899,12.968,12.899,12.918,114967
2026-04-15T17:50:00+00:00,12.928,13.042,12.923,13.038,184983
2026-04-15T17:55:00+00:00,13.038,13.038,12.933,12.948,153608
2026-04-15T18:00:00+00:00,12.948,12.968,12.889,12.948,190079
2026-04-15T18:05:00+00:00,12.948,13.018,12.948,13.008,115714
2026-04-15T18:10:00+00:00,13.008,13.097,13.008,13.082,174595
2026-04-15T18:15:00+00:00,13.087,13.107,13.028,13.028,86717
2026-04-15T18:20:00+00:00,13.028,13.042,12.998,13.038,79563
2026-04-15T18:25:00+00:00,13.028,13.067,13.028,13.057,83123
2026-04-15T18:30:00+00:00,13.057,13.082,13.047,13.072,63268
2026-04-15T18:35:00+00:00,13.077,13.077,13.008,13.028,206893
2026-04-15T18:40:00+00:00,13.038,13.137,13.038,13.137,168554
2026-04-15T18:45:00+00:00,13.127,13.137,13.097,13.117,103737
2026-04-15T18:50:00+00:00,13.112,13.132,13.097,13.097,232063
2026-04-15T18:55:00+00:00,13.087,13.102,13.062,13.067,195828
2026-04-15T19:00:00+00:00,13.077,13.166,13.057,13.166,197982
2026-04-15T19:05:00+00:00,13.171,13.191,13.162,13.186,169704
2026-04-15T19:10:00+00:00,13.176,13.186,13.112,13.127,172932
2026-04-15T19:15:00+00:00,13.117,13.166,13.087,13.166,190502
2026-04-15T19:20:00+00:00,13.171,13.201,13.147,13.186,196418
2026-04-15T19:25:00+00:00,13.186,13.216,13.176,13.216,178154
2026-04-15T19:30:00+00:00,13.211,13.241,13.176,13.236,112050
