ts,o,h,l,c,v
2026-05-29T08:00:00+00:00,424.202,427.195,424.202,426.098,6286
2026-05-29T08:05:00+00:00,426.416,426.916,425.449,426.297,1674
2026-05-29T08:10:00+00:00,426.178,426.916,425.898,426.755,1907
2026-05-29T08:15:00+00:00,426.756,426.916,426.358,426.633,686
2026-05-29T08:20:00+00:00,426.836,427.016,426.327,426.507,705
2026-05-29T08:25:00+00:00,426.686,426.884,426.237,426.475,178
2026-05-29T08:30:00+00:00,426.639,426.686,426.499,426.501,54
2026-05-29T08:35:00+00:00,426.649,426.686,426.168,426.487,363
2026-05-29T08:40:00+00:00,426.287,426.666,426.217,426.331,534
2026-05-29T08:45:00+00:00,426.327,426.645,426.237,426.317,497
2026-05-29T08:50:00+00:00,425.948,426.755,425.948,426.297,394
2026-05-29T08:55:00+00:00,426.477,426.666,426.128,426.666,636
2026-05-29T09:00:00+00:00,426.553,426.716,426.141,426.716,1582
2026-05-29T09:05:00+00:00,426.716,427.025,426.706,427.025,114
2026-05-29T09:10:00+00:00,427.397,427.784,427.135,427.365,656
2026-05-29T09:15:00+00:00,427.737,428.013,427.365,428.013,592
2026-05-29T09:20:00+00:00,427.953,428.013,427.068,427.734,458
2026-05-29T09:25:00+00:00,427.554,428.163,426.755,428.151,2436
2026-05-29T09:30:00+00:00,428.013,428.539,427.756,428.512,1176
2026-05-29T09:35:00+00:00,428.59,428.612,428.153,428.392,1219
2026-05-29T09:40:00+00:00,428.392,428.514,427.435,428.113,954
2026-05-29T09:45:00+00:00,428.113,428.502,426.755,428.412,154
2026-05-29T09:50:00+00:00,428.395,428.395,427.726,427.977,91
2026-05-29T09:55:00+00:00,427.983,427.983,427.514,427.514,660
2026-05-29T10:00:00+00:00,427.534,427.696,426.018,426.33,934
2026-05-29T10:05:00+00:00,426.477,426.617,425.27,425.938,4062
2026-05-29T10:10:00+00:00,425.918,426.617,425.818,426.317,1959
2026-05-29T10:15:00+00:00,426.31,426.317,425.22,426.286,4346
2026-05-29T10:20:00+00:00,426.317,426.317,425.708,426.118,1202
2026-05-29T10:25:00+00:00,426.217,426.755,425.758,426.646,166
2026-05-29T10:30:00+00:00,426.507,426.557,426.03,426.399,101
2026-05-29T10:35:00+00:00,426.617,427.614,426.487,427.335,306
2026-05-29T10:40:00+00:00,427.106,427.335,426.686,427.295,378
2026-05-29T10:45:00+00:00,427.335,427.514,427.016,427.107,445
2026-05-29T10:50:00+00:00,427.115,427.465,427.115,427.295,191
2026-05-29T10:55:00+00:00,427.115,427.504,427.016,427.046,783
2026-05-29T11:00:00+00:00,427.315,427.914,427.016,427.664,3323
2026-05-29T11:05:00+00:00,427.894,428.303,427.514,427.744,1388
2026-05-29T11:10:00+00:00,427.614,427.924,427.514,427.695,861
2026-05-29T11:15:00+00:00,427.873,428.013,427.624,428.004,1062
2026-05-29T11:20:00+00:00,427.764,428.699,427.764,428.447,2042
2026-05-29T11:25:00+00:00,428.412,428.712,426.328,428.158,1080
2026-05-29T11:30:00+00:00,428.013,428.313,427.016,427.225,1021
2026-05-29T11:35:00+00:00,427.026,427.315,426.916,427.115,2080
2026-05-29T11:40:00+00:00,427.016,428.013,427.016,427.764,578
2026-05-29T11:45:00+00:00,427.764,428.013,427.016,427.702,393
2026-05-29T11:50:00+00:00,427.584,427.694,426.916,427.494,834
2026-05-29T11:55:00+00:00,427.445,428.013,427.065,427.984,576
2026-05-29T12:00:00+00:00,427.746,428.013,427.165,427.325,2082
2026-05-29T12:05:00+00:00,427.295,427.684,426.327,426.577,3124
