ts,o,h,l,c,v
2026-04-15T13:30:00+00:00,124.393,124.663,122.946,123.126,352891
2026-04-15T13:35:00+00:00,123.116,123.814,123.046,123.734,126694
2026-04-15T13:40:00+00:00,123.729,124.124,123.625,123.724,154227
2026-04-15T13:45:00+00:00,123.744,123.834,123.555,123.804,54698
2026-04-15T13:50:00+00:00,123.764,123.764,123.136,123.235,59626
2026-04-15T13:55:00+00:00,123.225,123.555,123.225,123.385,40993
2026-04-15T14:00:00+00:00,123.405,123.515,123.156,123.255,44870
2026-04-15T14:05:00+00:00,123.255,123.425,123.23,123.275,45561
2026-04-15T14:10:00+00:00,123.285,123.315,123.116,123.156,47039
2026-04-15T14:15:00+00:00,123.181,123.405,123.166,123.255,31883
2026-04-15T14:20:00+00:00,123.255,123.365,123.136,123.285,50592
2026-04-15T14:25:00+00:00,123.275,123.465,123.275,123.465,40211
2026-04-15T14:30:00+00:00,123.455,123.515,123.335,123.335,24061
2026-04-15T14:35:00+00:00,123.32,123.425,123.255,123.335,30719
2026-04-15T14:40:00+00:00,123.32,123.545,123.32,123.515,28378
2026-04-15T14:45:00+00:00,123.495,123.764,123.495,123.705,40541
2026-04-15T14:50:00+00:00,123.724,123.834,123.714,123.774,18282
2026-04-15T14:55:00+00:00,123.774,123.804,123.545,123.555,37667
2026-04-15T15:00:00+00:00,123.535,123.615,123.495,123.525,25840
2026-04-15T15:05:00+00:00,123.51,123.555,123.335,123.385,26322
2026-04-15T15:10:00+00:00,123.405,123.485,123.395,123.465,28890
2026-04-15T15:15:00+00:00,123.455,123.455,123.31,123.33,34335
2026-04-15T15:20:00+00:00,123.33,123.365,123.295,123.305,24711
2026-04-15T15:25:00+00:00,123.285,123.36,123.255,123.335,23009
2026-04-15T15:30:00+00:00,123.355,123.425,123.275,123.345,24769
2026-04-15T15:35:00+00:00,123.355,123.395,123.265,123.285,26371
2026-04-15T15:40:00+00:00,123.295,123.525,123.295,123.495,22760
2026-04-15T15:45:00+00:00,123.495,123.555,123.445,123.535,16319
2026-04-15T15:50:00+00:00,123.535,123.575,123.425,123.445,17893
