ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,124.703,124.703,124.703,124.703,0
2026-04-15T08:05:00+00:00,124.703,124.703,124.703,124.703,0
2026-04-15T08:10:00+00:00,124.703,124.703,124.703,124.703,0
2026-04-15T08:15:00+00:00,124.393,124.393,124.393,124.393,2
2026-04-15T08:20:00+00:00,124.393,124.393,124.393,124.393,0
2026-04-15T08:25:00+00:00,124.393,124.393,124.393,124.393,0
2026-04-15T08:30:00+00:00,124.393,124.393,124.393,124.393,100
2026-04-15T08:35:00+00:00,124.393,124.393,124.393,124.393,176
2026-04-15T08:40:00+00:00,124.393,124.393,124.393,124.393,20
2026-04-15T08:45:00+00:00,124.393,124.393,124.393,124.393,19
2026-04-15T08:50:00+00:00,124.393,124.393,124.393,124.393,0
2026-04-15T08:55:00+00:00,124.393,124.393,124.393,124.393,1
2026-04-15T09:00:00+00:00,124.393,124.393,124.393,124.393,106
2026-04-15T09:05:00+00:00,124.393,124.393,124.393,124.393,1
2026-04-15T09:10:00+00:00,124.393,124.393,124.393,124.393,0
2026-04-15T09:15:00+00:00,124.533,124.533,124.533,124.533,364
2026-04-15T09:20:00+00:00,124.533,124.533,124.533,124.533,0
2026-04-15T09:25:00+00:00,124.533,124.533,124.533,124.533,34
2026-04-15T09:30:00+00:00,124.533,124.533,124.533,124.533,4
2026-04-15T09:35:00+00:00,124.643,124.643,124.643,124.643,208
2026-04-15T09:40:00+00:00,124.643,124.643,124.643,124.643,0
2026-04-15T09:45:00+00:00,124.643,124.643,124.643,124.643,0
2026-04-15T09:50:00+00:00,124.643,124.643,124.643,124.643,0
2026-04-15T09:55:00+00:00,124.643,124.643,124.643,124.643,0
2026-04-15T10:00:00+00:00,124.643,124.643,124.643,124.643,0
2026-04-15T10:05:00+00:00,124.643,124.643,124.643,124.643,1
2026-04-15T10:10:00+00:00,124.643,124.643,124.643,124.643,0
2026-04-15T10:15:00+00:00,124.453,124.453,124.453,124.453,244
2026-04-15T10:20:00+00:00,124.403,124.403,124.403,124.403,221
2026-04-15T10:25:00+00:00,124.403,124.403,124.403,124.403,0
2026-04-15T10:30:00+00:00,124.403,124.403,124.403,124.403,0
2026-04-15T10:35:00+00:00,124.403,124.403,124.403,124.403,0
2026-04-15T10:40:00+00:00,124.403,124.403,124.403,124.403,124
2026-04-15T10:45:00+00:00,124.403,124.403,124.403,124.403,0
2026-04-15T10:50:00+00:00,124.403,124.403,124.403,124.403,1
2026-04-15T10:55:00+00:00,124.543,124.543,124.543,124.543,1000
2026-04-15T11:00:00+00:00,124.543,124.543,124.543,124.543,60
2026-04-15T11:05:00+00:00,124.433,124.433,124.403,124.403,1473
2026-04-15T11:10:00+00:00,124.403,124.483,124.403,124.483,1071
2026-04-15T11:15:00+00:00,124.483,124.483,124.483,124.483,3
2026-04-15T11:20:00+00:00,124.483,124.483,124.483,124.483,0
2026-04-15T11:25:00+00:00,124.483,124.483,124.453,124.453,440
2026-04-15T11:30:00+00:00,124.453,124.453,124.453,124.453,0
2026-04-15T11:35:00+00:00,124.453,124.453,124.453,124.453,0
2026-04-15T11:40:00+00:00,124.453,124.453,124.453,124.453,166
2026-04-15T11:45:00+00:00,124.453,124.453,124.453,124.453,123
2026-04-15T11:50:00+00:00,124.453,124.453,124.453,124.453,25
2026-04-15T11:55:00+00:00,124.453,124.453,124.453,124.453,151
2026-04-15T12:00:00+00:00,124.423,124.423,124.413,124.413,833
2026-04-15T12:05:00+00:00,124.413,124.413,124.413,124.413,2
2026-04-15T12:10:00+00:00,124.413,124.413,124.413,124.413,32
2026-04-15T12:15:00+00:00,124.413,124.413,124.413,124.413,102
2026-04-15T12:20:00+00:00,124.413,124.413,124.413,124.413,5
2026-04-15T12:25:00+00:00,124.413,124.413,124.413,124.413,100
2026-04-15T12:30:00+00:00,124.413,124.413,124.413,124.413,0
2026-04-15T12:35:00+00:00,124.413,124.413,124.413,124.413,53
2026-04-15T12:40:00+00:00,124.413,124.413,124.413,124.413,32
2026-04-15T12:45:00+00:00,124.413,124.413,124.413,124.413,0
2026-04-15T12:50:00+00:00,124.413,124.413,124.413,124.413,3
2026-04-15T12:55:00+00:00,124.413,124.413,124.413,124.413,2
2026-04-15T13:00:00+00:00,124.413,124.413,124.413,124.413,2
2026-04-15T13:05:00+00:00,124.413,124.413,124.413,124.413,0
2026-04-15T13:10:00+00:00,124.413,124.413,124.413,124.413,56
2026-04-15T13:15:00+00:00,124.413,124.413,124.413,124.413,2
2026-04-15T13:20:00+00:00,124.413,124.413,124.413,124.413,101
2026-04-15T13:25:00+00:00,124.463,124.463,124.293,124.293,1225
2026-04-15T13:30:00+00:00,124.393,124.663,122.946,123.126,352891
2026-04-15T13:35:00+00:00,123.116,123.814,123.046,123.734,126694
2026-04-15T13:40:00+00:00,123.729,124.124,123.625,123.724,154227
2026-04-15T13:45:00+00:00,123.744,123.834,123.555,123.804,54698
2026-04-15T13:50:00+00:00,123.764,123.764,123.136,123.235,59626
