ts,o,h,l,c,v
2026-04-15T13:30:00+00:00,29.28,29.28,29.28,29.28,0
2026-04-15T13:35:00+00:00,29.28,29.28,29.28,29.28,118
2026-04-15T13:40:00+00:00,29.28,29.28,29.28,29.28,0
2026-04-15T13:45:00+00:00,29.28,29.28,29.28,29.28,0
2026-04-15T13:50:00+00:00,29.28,29.28,29.28,29.28,0
2026-04-15T13:55:00+00:00,29.28,29.28,29.28,29.28,0
2026-04-15T14:00:00+00:00,29.28,29.28,29.28,29.28,0
2026-04-15T14:05:00+00:00,29.28,29.48,29.28,29.48,102
2026-04-15T14:10:00+00:00,29.48,29.48,29.48,29.48,0
2026-04-15T14:15:00+00:00,29.48,29.509,29.48,29.509,100
2026-04-15T14:20:00+00:00,29.509,29.509,29.509,29.509,0
2026-04-15T14:25:00+00:00,29.509,29.509,29.509,29.509,0
2026-04-15T14:30:00+00:00,29.75,29.76,29.75,29.76,240
2026-04-15T14:35:00+00:00,29.76,29.76,29.76,29.76,58
2026-04-15T14:40:00+00:00,29.76,29.76,29.76,29.76,55
2026-04-15T14:45:00+00:00,29.76,29.76,29.76,29.76,0
2026-04-15T14:50:00+00:00,29.76,29.76,29.76,29.76,0
2026-04-15T14:55:00+00:00,29.76,29.76,29.66,29.66,519
2026-04-15T15:00:00+00:00,29.66,29.7,29.66,29.7,100
2026-04-15T15:05:00+00:00,29.7,29.7,29.7,29.7,1065
2026-04-15T15:10:00+00:00,29.7,29.7,29.7,29.7,0
2026-04-15T15:15:00+00:00,29.7,29.7,29.7,29.7,0
2026-04-15T15:20:00+00:00,29.7,29.7,29.7,29.7,0
2026-04-15T15:25:00+00:00,29.7,29.7,29.7,29.7,0
2026-04-15T15:30:00+00:00,29.7,29.715,29.67,29.67,279
2026-04-15T15:35:00+00:00,29.67,29.67,29.61,29.61,232
2026-04-15T15:40:00+00:00,29.61,29.61,29.61,29.61,0
2026-04-15T15:45:00+00:00,29.61,29.61,29.61,29.61,0
2026-04-15T15:50:00+00:00,29.61,29.61,29.61,29.61,0
2026-04-15T15:55:00+00:00,29.61,29.61,29.61,29.61,0
2026-04-15T16:00:00+00:00,29.61,29.61,29.61,29.61,55
2026-04-15T16:05:00+00:00,29.61,29.61,29.61,29.61,0
2026-04-15T16:10:00+00:00,29.61,29.61,29.61,29.61,5
2026-04-15T16:15:00+00:00,29.61,29.61,29.61,29.61,0
2026-04-15T16:20:00+00:00,29.61,29.61,29.61,29.61,0
2026-04-15T16:25:00+00:00,29.61,29.61,29.61,29.61,0
2026-04-15T16:30:00+00:00,29.935,29.935,29.87,29.87,696
2026-04-15T16:35:00+00:00,29.87,29.87,29.87,29.87,0
2026-04-15T16:40:00+00:00,29.87,29.87,29.87,29.87,96
2026-04-15T16:45:00+00:00,29.87,29.87,29.87,29.87,1
2026-04-15T16:50:00+00:00,29.87,29.87,29.87,29.87,0
2026-04-15T16:55:00+00:00,29.87,29.87,29.87,29.87,0
2026-04-15T17:00:00+00:00,29.87,29.87,29.87,29.87,0
2026-04-15T17:05:00+00:00,29.87,29.87,29.87,29.87,0
2026-04-15T17:10:00+00:00,29.87,29.87,29.87,29.87,0
2026-04-15T17:15:00+00:00,29.87,29.87,29.87,29.87,0
2026-04-15T17:20:00+00:00,29.87,29.87,29.87,29.87,0
2026-04-15T17:25:00+00:00,29.87,29.87,29.87,29.87,0
2026-04-15T17:30:00+00:00,29.87,29.87,29.87,29.87,0
