date,ticker,score,health,reduce,panel_price,rs_pct,a10,a20,a50,a200,d10,d20,dist_hi,dev21_atr,dev10_atr,ret_1d,ret_3d,ret_5d,ret_10d,ret_21d,accel_3d,slope10_5d,slope21_5d,days_ext,days_since_hi,up_streak,gap_pct,range_pct,days_above_10e,days_above_20e,days_above_50s,days_above_200s,vr,bars
2026-06-10,OSCR,99,HEALTHY,Hold,27.85,95.0,1,1,1,1,12.058,18.931,0.0,2.652,1.744,2.314,13.627,35.854,26.648,26.591,-2.314,13.296,8.629,3,0,1,5.805,7.074,5,5,45,37,1.028,399
2026-06-10,CRDO,99,HEALTHY,Hold,254.27,86.0,1,1,1,1,6.867,12.167,0.0,1.045,0.595,1.434,14.882,10.755,7.436,13.063,24.537,3.276,4.279,0,0,3,-2.699,15.142,3,15,43,42,1.515,399
2026-06-10,DOCN,96,HEALTHY,Hold,174.57,63.0,1,1,1,1,2.006,7.115,-5.003,0.908,0.249,1.865,0.942,-1.272,13.994,5.377,2.791,3.324,4.99,0,4,1,-2.091,8.611,9,39,66,190,0.808,399
2026-06-10,BAND,96,HEALTHY,Hold,65.49,96.0,0,0,1,1,-8.136,-1.365,-18.964,-0.051,-0.901,-6.392,-17.853,-9.588,5.647,18.739,-24.233,3.726,7.808,0,4,0,-1.168,12.829,0,0,73,60,0.837,399
2026-06-10,BB,95,HEALTHY,Hold,9.29,,0,1,1,1,-2.674,5.576,-14.7,0.567,-0.256,-0.226,-6.27,-13.36,1.73,41.801,2.548,2.762,7.871,0,4,0,-1.584,7.029,0,49,48,41,0.642,399
2026-06-10,ALAB,94,HEALTHY,Hold,,99.0,0,1,1,1,-0.364,7.882,-8.989,0.844,-0.038,-3.172,4.352,-8.989,1.7,59.566,15.231,3.021,7.361,0,5,0,-2.251,9.484,0,46,43,42,0.928,399
2026-06-10,SPMO,94,HEALTHY,Hold,147.77,,0,0,1,1,-2.882,-1.82,-7.357,-0.577,-1.021,-2.596,-0.416,-7.357,-3.957,-1.636,6.09,-1.478,0.363,0,5,0,-1.037,3.591,0,0,45,45,1.028,399
2026-06-10,SNDK,93,HEALTHY,Hold,,73.0,0,1,1,1,-0.155,4.827,-10.28,0.595,-0.018,-0.201,5.381,-10.28,3.352,6.182,14.531,-0.023,3.629,0,5,0,-1.346,10.628,0,49,50,127,0.917,326
2026-06-10,MU,93,HEALTHY,Hold,,92.0,0,1,1,1,-4.01,2.361,-17.386,0.333,-0.459,-4.702,3.226,-17.386,-3.935,12.14,22.029,-1.262,4.426,0,5,0,-3.287,8.323,0,45,45,200,1.01,399
2026-06-10,NBIS,93,HEALTHY,Hold,228.51,92.0,0,0,1,1,-6.755,-3.125,-19.969,-0.224,-0.604,-3.83,-7.076,-15.889,1.593,13.751,5.5,-2.549,2.343,0,7,0,-2.102,9.268,0,0,50,86,0.795,399
2026-06-10,AMD,92,UNHEALTHY,-,468.77,65.0,0,0,1,1,-6.684,-3.389,-16.611,-0.4,-0.963,-4.859,-2.998,-16.611,-8.706,-1.393,7.579,-2.9,1.765,0,5,0,-1.585,6.437,0,0,48,200,0.878,399
2026-06-10,DELL,92,HEALTHY,Hold,398.53,98.0,0,1,1,1,-2.686,7.185,-20.631,0.781,-0.284,-3.13,-6.227,-12.171,21.129,49.705,3.173,4.327,9.753,0,7,0,-1.273,7.931,0,78,74,72,0.774,399
2026-06-10,OUST,92,HEALTHY,Hold,40.10,,0,0,1,1,-5.69,-0.532,-18.475,0.008,-0.436,-0.337,-3.251,-12.671,-13.204,43.246,10.544,-2.016,3.671,0,4,0,-1.999,10.146,0,0,43,22,0.616,399
2026-06-10,QQQ,89,UNHEALTHY,-,,38.0,0,0,1,1,-3.341,-2.891,-7.032,-1.358,-1.645,-1.998,-1.613,-6.788,-4.902,-2.748,3.896,-2.013,-0.217,0,6,0,-0.872,2.645,0,0,45,45,1.423,399
2026-06-10,NOK,89,UNHEALTHY,-,13.79,40.0,0,0,1,1,-9.391,-8.009,-20.475,-0.977,-1.215,-3.249,-6.815,-19.904,-14.541,-3.736,7.844,-5.373,-0.329,0,6,0,-1.011,5.299,0,0,91,175,0.765,399
2026-06-10,RKLB,84,UNHEALTHY,-,108.08,15.0,0,0,1,1,-10.137,-10.626,-30.074,-1.023,-0.997,-2.938,-4.569,-8.413,-30.074,-10.481,6.167,-9.062,-3.235,0,10,0,-0.49,7.187,0,0,42,200,0.503,399
2026-06-10,AAOI,81,HEALTHY,Hold,182.00,8.0,0,0,1,1,-3.027,-1.906,-21.502,-0.115,-0.211,7.521,-1.056,-4.857,-2.614,-5.284,11.48,-0.33,1.213,0,19,1,5.47,9.987,0,0,119,135,1.278,399
2026-06-10,AXTI,80,UNHEALTHY,-,88.41,1.0,0,0,0,1,-12.27,-16.281,-39.438,-1.032,-0.743,8.844,-4.212,-20.066,-30.529,-32.207,15.464,-14.116,-7.194,0,12,1,4.135,12.651,0,0,0,200,1.065,399
2026-06-10,BE,79,UNHEALTHY,-,252.09,13.0,0,0,0,1,-12.549,-13.75,-23.922,-1.472,-1.337,-9.776,-11.145,-18.478,-20.276,-17.501,1.812,-7.162,-2.84,0,13,0,-4.399,11.965,0,0,0,200,1.472,399
2026-06-10,MXL,75,UNHEALTHY,-,,2.0,0,0,1,1,-13.403,-14.275,-29.647,-1.034,-0.986,-0.909,-11.085,-21.271,-28.833,-29.647,-2.252,-9.927,-3.395,0,21,0,-3.016,8.097,0,0,48,50,0.59,399
2026-06-10,CIEN,75,UNHEALTHY,-,444.22,3.0,0,0,0,1,-14.701,-18.056,-30.678,-2.209,-1.72,-1.068,-10.971,-29.937,-25.328,-25.25,11.165,-13.552,-6.721,0,6,0,0.605,6.058,0,0,0,200,1.266,399
2026-06-10,IREN,38,UNHEALTHY,-,55.08,32.0,0,0,1,1,-11.092,-10.573,-32.574,-0.985,-1.063,-4.628,-5.207,-21.319,-24.057,-6.582,13.186,-7.171,-1.759,0,10,0,-0.185,10.171,0,0,42,42,0.803,399
2026-06-10,DKNG,17,UNHEALTHY,-,,88.0,1,1,1,0,10.288,12.989,-40.307,2.301,1.842,4.349,15.483,14.656,14.838,17.462,16.946,4.036,2.565,1,0,2,1.559,6.947,2,2,27,0,2.243,399
2026-06-10,HOOD,16,UNHEALTHY,-,90.37,65.0,1,1,1,0,2.214,4.379,-43.356,0.605,0.301,3.092,4.717,4.237,13.289,6.908,11.171,1.348,1.926,0,8,1,0.382,8.546,1,10,10,0,1.493,399
2026-06-10,HIMS,,UNHEALTHY,-,29.52,39.0,1,1,1,0,2.433,4.988,-58.024,0.678,0.328,-4.141,6.071,0.981,10.238,-4.667,10.869,4.002,2.991,0,36,0,-2.07,7.415,3,11,11,0,0.859,399
2026-06-10,SQQQ,3,UNHEALTHY,-,,,1,1,0,0,9.506,6.968,-57.964,1.136,1.629,6.046,4.77,21.672,14.731,7.177,-12.245,5.596,-0.304,0,50,2,2.672,7.337,4,2,0,0,1.762,399
2026-06-05,ARM,97,HEALTHY,Hold,359.98,97.0,0,1,1,1,-2.714,9.956,-16.73,0.951,-0.265,-12.838,-14.844,-2.932,14.988,44.513,-34.96,19.583,18.98,0,2,0,-6.021,10.553,0,58,58,47,1.19,396
2026-06-05,MU,96,HEALTHY,Hold,929.34,94.0,0,1,1,1,-7.612,1.297,-19.967,0.254,-0.965,-13.252,-18.804,-11.019,13.372,29.616,-34.026,11.254,12.545,0,2,0,-5.181,11.329,0,42,42,197,1.367,396
2026-06-05,QQQ,95,WATCH,-,726.26,70.0,0,0,1,1,-3.238,-1.744,-5.508,-0.952,-2.008,-4.8,-5.508,-4.504,-1.323,1.335,-6.944,0.857,1.549,0,3,0,-1.425,3.882,0,0,42,42,2.372,396
2026-06-05,SPY,99,HEALTHY,Hold,749.98,59.0,0,0,1,1,-1.644,-0.824,-2.899,-0.75,-1.725,-2.581,-2.899,-2.502,-0.696,0.507,-3.558,0.377,0.796,0,3,0,-0.631,2.345,0,0,42,42,1.921,396
2026-06-05,SNDK,96,HEALTHY,Hold,1634.91,89.0,0,1,1,1,-5.339,1.201,-14.861,0.232,-0.693,-11.386,-9.15,-8.004,1.107,10.592,-13.701,6.968,8.13,0,2,0,-4.592,10.751,0,46,47,124,1.083,323
2026-06-05,MRVL,98,HEALTHY,Hold,295.06,99.0,1,1,1,1,5.58,19.423,-16.737,1.71,0.529,-16.737,-9.395,28.522,38.167,53.047,-51.362,28.833,20.891,0,1,0,-5.35,14.929,13,47,64,64,2.088,396
2026-06-05,HYLN,99,HEALTHY,Hold,7.93,,1,1,1,1,7.077,26.013,-9.449,1.601,0.485,-9.449,1.62,-1.288,64.286,188.703,7.183,13.361,19.638,0,1,0,0.525,15.928,26,26,25,25,1.199,396
