tk,date,score,a200,rsHi,pred,resid,dist50,atrp,adx,days200,rsHi252_QQQ,rsHi126_QQQ,rsSlope21_QQQ,rsHi252_SPY,rsHi126_SPY,rsSlope21_SPY,revenueGrowth,earningsQuarterlyGrowth,profitMargins,grossMargins,returnOnEquity,forwardPE,priceToSalesTrailing12Months,pegRatio,debtToEquity,beta,isProfitable,logMktCap
OSCR,2026-06-10,99.0,1,-0.8037916558430225,98.35601876136481,0.6439812386351917,43.46204566059508,6.171069505001283,25.46283954096229,37,-0.8037916558430225,0.0,30.16769673118329,0.0,0.0,29.011288602496577,0.526,1.467,-0.00296,0.17389,-0.02623,19.347418,0.6405024,,28.928,2.391,0.0,9.930449381574329
CRDO,2026-06-10,99.0,1,0.0,99.19999999999999,-0.19999999999998863,32.903963913285914,10.796719478770973,32.58902702424881,42,0.0,0.0,16.257052669536098,0.0,0.0,15.224226522186735,1.57,3.622,0.35374,0.68035007,0.34408,28.859055,34.650085,,0.999,3.229,1.0,10.665223343232498
DOCN,2026-06-10,96.0,1,0.0,99.19999999999999,-3.1999999999999886,34.89720843731021,7.903048429962759,24.795895787932675,139,0.0,0.0,8.354739863724214,-0.8567983157796832,-0.8567983157796832,7.392117760800243,0.224,-0.587,0.24965,0.58491004,0.70002997,96.99356,18.751095,1.54,169.946,1.57,1.0,10.250123026846047
BAND,2026-06-10,96.0,1,-16.50674946447418,81.86791306230211,14.132086937697892,42.971473201587116,9.832959992292317,58.81813637185968,60,-16.50674946447418,-16.50674946447418,22.093665693544583,-16.480731477897347,-16.480731477897347,21.008987151826574,0.198,,-0.00641,0.38237998,-0.013459999,29.19571,2.6536236,,104.326,2.923,0.0,9.320563912280452
BB,2026-06-10,95.0,1,-8.930661032234399,89.82280591615387,5.177194083846132,42.70459178720516,10.746679624230644,78.43806485716087,41,-8.930661032234399,-8.930661032234399,45.80717713588993,-10.977447085275704,-10.977447085275704,44.51182806622776,0.101,,0.09689,0.76161003,0.07258,45.62379,9.808602,1.69,30.134,1.551,1.0,9.731258577182828
ALAB,2026-06-10,94.0,1,-2.361268170005293,96.72066842149444,-2.7206684214944374,46.14260985099956,9.580918990336873,66.26053303967323,42,-2.361268170005293,-2.361268170005293,64.0744387200446,-5.374952263043076,-5.374952263043076,62.6168035355072,0.934,1.524,0.26724002,0.75988996,0.21110001,87.27765,62.841682,,2.801,3.963,1.0,10.798874450734937
SPMO,2026-06-10,94.0,1,-0.6109847011740999,98.55846606376718,-4.5584660637671846,5.382981469963499,2.9065085109767725,16.64566451792856,45,-0.6109847011740999,-0.6109847011740999,1.1430373842307384,-3.677760276664588,-3.677760276664588,0.2444839525545639,,,,,,,,,,,0.0,
SNDK,2026-06-10,93.0,1,-3.7453986679433338,95.2673313986595,-2.2673313986594934,32.23230809565296,8.689436571352068,37.799953631062984,127,-3.7453986679433338,-3.7453986679433338,9.18212954240425,-6.716360656892483,-6.716360656892483,8.212156920311164,2.51,,0.34185,0.56038,0.39297,10.817499,22.241547,,1.503,,1.0,11.46721216479168
MU,2026-06-10,93.0,1,-11.368992699421499,87.26255766560742,5.737442334392583,36.74715697833983,9.09698774338636,32.41135607450526,139,-11.368992699421499,-11.368992699421499,15.30808572300093,-14.104647411905336,-14.104647411905336,14.283690185690666,1.963,7.708,0.41486,0.58437,0.39823002,8.75113,19.04704,0.34,14.902,2.173,1.0,12.044145628483289
NBIS,2026-06-10,93.0,1,-14.31010181274479,84.17439309661796,8.825606903382038,17.843337222662626,12.004177267297868,27.742745740088065,86,-14.31010181274479,-14.31010181274479,16.964662318869152,-16.316232738008686,-16.316232738008686,15.925549776577164,6.839,,0.93086,0.72058,0.14136,643.26447,67.20103,0.63,132.429,1.434,1.0,10.770820989600733
AMD,2026-06-10,92.0,1,-10.538348609773053,88.13473395973828,3.865266040261716,20.623241410993298,7.435265883541748,24.311019176936806,139,-10.538348609773053,-10.538348609773053,1.39332252793134,-13.299641701955522,-13.299641701955522,0.4925455662862621,0.378,0.951,0.13374,0.5306,0.08063,39.040714,22.271755,1.23,6.005,2.492,1.0,11.92125265367792
DELL,2026-06-10,92.0,1,-15.01840454478761,83.430675227973,8.569324772027002,45.32867512417755,9.708051189542683,65.58702691537422,72,-15.01840454478761,-15.01840454478761,53.9343564545413,-17.007953025151224,-17.007953025151224,52.566805629271585,0.875,2.563,0.062750004,0.19212,,18.70318,1.913196,0.65,,1.378,1.0,11.40887072800672
OUST,2026-06-10,92.0,1,-12.961066776804897,85.59087988435485,6.409120115645152,26.67500387713284,13.849216685892902,54.88219923735659,22,-12.961066776804897,-12.961066776804897,47.293648416654754,-14.917269343026296,-14.917269343026296,45.98509355542293,0.489,,-0.30122,0.47694,-0.25171,-884.4444,13.673896,,6.308,3.243,0.0,9.40383800201417
QQQ,2026-06-10,89.0,1,0.0,99.19999999999999,-10.199999999999989,2.5761976021340782,2.1009796471458024,26.876886038173836,45,0.0,0.0,0.0,-3.0865661982225623,-3.0865661982225623,-0.8883987023868611,,,,,,,,,,,0.0,
NOK,2026-06-10,89.0,1,-14.459571192683796,84.017450247682,4.982549752317993,7.210978404188584,8.531449893390192,32.124023648304885,139,-14.459571192683796,-14.459571192683796,-1.0157117451019437,-16.732181886924234,-16.732181886924234,-1.8950868775253538,0.024,,0.039809998,0.45359,0.037249997,30.404503,4.1319017,1.43,15.63,0.781,1.0,10.917093104463127
RKLB,2026-06-10,84.0,1,-26.469167291523632,71.40737434390017,12.592625656099827,6.120544048359844,11.31977969674305,41.90035610680191,139,-26.469167291523632,-26.469167291523632,-7.95214673671415,-27.661178912055096,-27.661178912055096,-8.769898670680131,0.635,,-0.26872,0.36556,-0.13549,-14083.906,94.13959,,6.124,2.499,0.0,10.806011587957205
AAOI,2026-06-10,81.0,1,-19.12293133727536,79.12092209586086,1.8790779041391374,8.225456001621566,14.80606243525218,8.428509556993282,135,-19.12293133727536,-19.12293133727536,-2.6077637137631005,-19.674992126495493,-19.674992126495493,-3.472995077155605,0.514,,-0.085480005,0.29642,-0.06126,35.4254,26.755505,0.78,25.356,3.671,0.0,10.132421099218242
AXTI,2026-06-10,80.0,1,-37.35540332059141,59.97682651337901,20.02317348662099,-6.310245016999049,18.832554477999423,26.750046187548385,139,-37.35540332059141,-37.35540332059141,-30.291834501669335,-37.75039196966292,-37.75039196966292,-30.911120939414193,0.391,,-0.14685,0.21337,-0.05032,129.22873,66.30055,12.09,23.334,1.811,0.0,9.803308571367847
BE,2026-06-10,79.0,1,-22.42788345235346,75.65072237502886,3.349277624971137,-4.073998537131551,10.730722549874667,9.66775299274988,139,-22.42788345235346,-22.42788345235346,-15.170436242237905,-22.10839594841618,-22.10839594841618,-15.924060985902289,1.304,,0.00246,0.3009,0.01286,59.813812,30.223427,1.38,311.476,3.746,1.0,10.869337279241728
MXL,2026-06-10,75.0,1,-27.659210550384184,70.1578289220966,4.8421710779034015,12.61402267619125,15.692544425692445,15.500131588615803,50,-27.659210550384184,-27.659210550384184,-27.659210550384184,-28.301885185150976,-28.301885185150976,-28.301885185150976,0.43,,-0.25959,0.57155997,-0.27889,45.036926,14.861684,0.39,33.285,3.996,0.0,9.878697058848507
CIEN,2026-06-10,75.0,1,-25.4343731853252,72.49390815540852,2.506091844591481,-16.533845415266445,10.0201311399977,16.97895505284493,139,-25.4343731853252,-25.4343731853252,-23.137753697758733,-27.41540885798338,-27.41540885798338,-23.820596896533253,0.395,23.33,0.0787,0.43047002,0.15464,46.363476,11.335622,0.97,54.649,1.244,1.0,10.80023424922682
