sha8,orig_name,size,src_mtime,ticker,date,note
688148ba,image-1781163297044.webp,141608,2026-06-11T07:34:57+00:00,,,
f1f9ceea,image-1781163311343.webp,150340,2026-06-11T07:35:11+00:00,,,
bfa86acc,image-1781163313946.webp,148434,2026-06-11T07:35:13+00:00,,,
f7840655,image-1781163317461.webp,132370,2026-06-11T07:35:17+00:00,,,
7bd6f49a,image-1781163320211.webp,102660,2026-06-11T07:35:20+00:00,,,
3641c72c,image-1781163322913.webp,145282,2026-06-11T07:35:22+00:00,,,
cfdaf7d5,image-1781163329861.webp,112074,2026-06-11T07:35:29+00:00,,,
dd531870,image-1781163332144.webp,112600,2026-06-11T07:35:32+00:00,,,
81b94219,image-1781163334297.webp,119454,2026-06-11T07:35:34+00:00,,,
88a8590d,image-1781163337045.webp,129416,2026-06-11T07:35:37+00:00,,,
7c5000ed,image-1781163339797.webp,140700,2026-06-11T07:35:39+00:00,,,
2ece59a9,image-1781163343771.webp,118868,2026-06-11T07:35:43+00:00,,,
8d09af9f,image-1781163346451.webp,140286,2026-06-11T07:35:46+00:00,,,
6e492a67,image-1781163348685.webp,120186,2026-06-11T07:35:48+00:00,,,
c414edd4,image-1781163357518.webp,104400,2026-06-11T07:35:57+00:00,,,
1fa6a530,image-1781163360300.webp,132118,2026-06-11T07:36:00+00:00,,,
2625006d,image-1781163364957.webp,111098,2026-06-11T07:36:04+00:00,,,
044b7acb,image-1781163366955.webp,131594,2026-06-11T07:36:06+00:00,,,
15f4d2b1,image-1781163369623.webp,131338,2026-06-11T07:36:09+00:00,,,
ab14e6a7,image-1781163372945.webp,132000,2026-06-11T07:36:12+00:00,,,
fb02ca22,image-1781163377303.webp,77068,2026-06-11T07:36:17+00:00,,,
b594d482,image-1781163379757.webp,101294,2026-06-11T07:36:19+00:00,,,
a4fa7678,image-1781163382104.webp,127312,2026-06-11T07:36:22+00:00,,,
534473bd,image-1781163384472.webp,104304,2026-06-11T07:36:24+00:00,,,
7ffbcdfc,image-1781163386903.webp,140610,2026-06-11T07:36:26+00:00,,,
505e0ec5,image-1781163390701.webp,134788,2026-06-11T07:36:30+00:00,,,
9bae4fef,image-1781163393133.webp,169854,2026-06-11T07:36:33+00:00,,,
949aa036,image-1781163395666.webp,124254,2026-06-11T07:36:35+00:00,,,
a2c0bc09,image-1781163397864.webp,113522,2026-06-11T07:36:37+00:00,,,
852eb573,image-1781163400417.webp,123434,2026-06-11T07:36:40+00:00,,,
c73243e2,image-1781163404365.webp,140630,2026-06-11T07:36:44+00:00,,,
e029b83c,image-1781163407275.webp,139974,2026-06-11T07:36:47+00:00,,,
66289d90,image-1781163410783.webp,102380,2026-06-11T07:36:50+00:00,,,
bb950c43,image-1781163412836.webp,132770,2026-06-11T07:36:52+00:00,,,
4351061f,image-1781163415466.webp,137844,2026-06-11T07:36:55+00:00,,,
f02b5c60,image-1781163419634.webp,142330,2026-06-11T07:36:59+00:00,,,
ba54b82f,image-1781163422283.webp,153250,2026-06-11T07:37:02+00:00,,,
8d4a30a0,image-1781163424749.webp,135554,2026-06-11T07:37:04+00:00,,,
bc262baa,image-1781163427101.webp,135592,2026-06-11T07:37:07+00:00,,,
a97a5e7d,image-1781163429536.webp,124614,2026-06-11T07:37:09+00:00,,,
