symbol,day,pnl,win,tt,near_high,pocket,dryup,dist25,rs_newhi,mkt_a10,mkt_a21,mkt_dist25
CRWV.US,2026-03-31,-2.208906303873748,0,1,-62.33249809347423,0,0,1,0,0,0,4
CRWV.US,2026-04-01,-0.9400784733778308,0,1,-57.80041398845191,1,0,1,0,0,0,4
CRWV.US,2026-04-06,-1.461220040605755,0,1,-55.2020917311254,0,0,1,0,1,0,3
CRWV.US,2026-04-07,5.389607176609725,1,1,-55.91022987253513,0,0,0,0,1,1,3
CRWV.US,2026-04-09,-1.895217195259468,0,2,-51.57424556051857,0,0,0,0,1,1,2
CRWV.US,2026-04-10,7.357162697690309,1,2,-49.885608454079964,1,0,0,0,1,1,2
CRWV.US,2026-04-13,3.97336961533392,1,3,-44.43839198169736,1,0,0,1,1,1,1
CRWV.US,2026-04-15,-1.6325170747959317,0,4,-36.15862294367579,1,0,0,1,1,1,0
CRWV.US,2026-04-21,-1.097358024570216,0,4,-36.03333696481098,1,0,0,0,1,1,0
CRWV.US,2026-04-22,-1.7948610525076587,0,4,-37.26985510404184,0,1,0,0,1,1,0
CRWV.US,2026-04-23,-1.29387745151813,0,4,-33.249809347423465,1,0,0,1,1,1,0
CRWV.US,2026-04-28,0.3040033667577164,1,4,-38.95849221048044,0,0,0,0,1,1,0
CRWV.US,2026-04-29,4.340864416415235,1,4,-42.5155245669463,0,0,0,0,1,1,0
CRWV.US,2026-05-01,3.141363299438189,1,4,-39.20906416821005,0,0,0,0,1,1,0
RKLB.US,2025-01-27,0.6683264887063721,1,8,-3.83275261324042,0,0,0,0,1,1,2
RKLB.US,2025-02-03,-0.9841807782885184,0,8,-7.982261640798227,0,0,0,0,1,1,1
RKLB.US,2025-02-13,0.9127720299679,1,8,-12.5118783655369,0,0,0,0,1,1,1
RKLB.US,2025-02-19,-1.0273601517279882,0,8,-12.131770668356035,0,0,0,0,1,1,1
RKLB.US,2025-02-28,2.194386227544918,1,6,-37.18720304086158,0,0,1,0,0,0,4
RKLB.US,2025-03-05,-0.711920529801326,0,6,-39.83211910041178,0,0,1,0,0,0,4
RKLB.US,2025-03-11,-0.04999999999999,0,6,-45.77130186886285,0,0,1,0,0,0,6
RKLB.US,2025-03-14,-0.9165758165099706,0,6,-44.345898004434595,0,1,1,0,0,0,7
RKLB.US,2025-03-17,-1.2319376282884125,0,6,-40.41811846689895,0,1,1,0,0,0,7
RKLB.US,2025-03-20,-0.5865002683843106,0,6,-40.51314539119417,0,1,1,0,0,0,7
RKLB.US,2025-03-24,0.4969900497512441,1,6,-40.00633512828634,0,0,1,0,0,0,7
RKLB.US,2025-03-25,0.6451316443119838,1,6,-35.98352866645549,1,0,1,0,1,1,7
RKLB.US,2025-03-28,-1.386946082798234,0,6,-41.65346848273677,0,0,1,0,0,0,7
RKLB.US,2025-04-07,-1.2338409475465293,0,5,-48.146974976243264,0,0,1,0,0,0,6
RKLB.US,2025-04-09,1.079101178781931,1,5,-45.58124802027241,0,0,1,0,0,0,6
RKLB.US,2025-04-10,-2.571200811252921,0,6,-34.779854292049414,1,0,1,0,1,1,6
RKLB.US,2025-04-11,-0.151730279898215,0,6,-37.820715869496354,0,0,1,0,0,0,6
RKLB.US,2025-04-15,2.6328071824119723,1,6,-39.40449794108331,0,0,1,0,1,0,5
RKLB.US,2025-04-17,-1.0792984931619327,0,6,-36.72790624010136,0,0,1,0,0,0,4
RKLB.US,2025-04-28,1.9951795483155348,1,7,-29.10991447576814,0,0,1,0,1,1,4
RKLB.US,2025-04-29,-0.8605363571808667,0,7,-28.191320874247694,0,0,1,0,1,1,4
RKLB.US,2025-04-30,-0.93622885826966,0,6,-29.046563192904664,0,1,1,0,1,1,4
RKLB.US,2025-05-06,1.512448363853395,1,6,-28.79315806145074,0,1,1,0,1,1,4
RKLB.US,2025-05-12,-0.9922475195010576,0,5,-35.033259423503324,0,0,2,0,1,1,3
RKLB.US,2025-05-15,1.893326326852336,1,6,-23.566677225213816,1,0,1,0,1,1,1
RKLB.US,2025-05-19,1.3569993311111543,1,6,-19.005384859043396,0,0,1,1,1,1,0
RKLB.US,2025-05-20,-0.8210465695439292,0,6,-18.27684510611339,0,0,1,1,1,1,0
RKLB.US,2025-06-06,0.3664583333333378,1,6,-16.217928413050366,0,0,1,0,1,1,0
RKLB.US,2025-06-11,-1.1824091559123309,0,7,-13.937282229965152,0,0,1,0,1,1,0
RKLB.US,2025-06-16,1.1234945336742452,1,7,-19.512195121951216,0,0,1,0,0,1,0
RKLB.US,2025-06-18,-1.1909342827006255,0,7,-16.31295533734558,0,1,0,0,0,1,0
RKLB.US,2025-06-20,0.5861976549413666,1,8,-11.783338612606897,0,0,0,0,0,1,0
RKLB.US,2025-07-07,1.5696811291165935,1,8,-1.3281682346430679,0,1,1,0,1,1,0
RKLB.US,2025-07-09,1.2302497088886089,1,8,-0.36008230452675427,0,0,1,0,1,1,0
RKLB.US,2025-07-18,0.477904929577473,1,8,0.0,1,0,1,1,1,1,0
RKLB.US,2025-07-23,2.1736862223944704,1,8,-8.776026464292663,0,0,1,0,1,1,0
RKLB.US,2025-07-24,-0.1329977164210076,0,8,-4.358824674061101,0,1,1,0,1,1,0
RKLB.US,2025-07-29,-0.9283283388709797,0,8,-12.220276318349876,0,0,1,0,1,1,0
RKLB.US,2025-08-06,-0.388813559322031,0,8,-12.920801712395413,0,1,0,0,0,1,2
RKLB.US,2025-08-21,-0.2181850961538402,0,7,-20.82117143413116,0,0,0,0,0,0,3
RKLB.US,2025-08-29,1.6773312226916006,1,8,-6.771745475773505,0,0,0,0,1,1,3
RKLB.US,2025-09-08,0.9013007614213092,1,8,-10.799766491535312,0,0,1,0,1,1,3
RKLB.US,2025-09-15,-0.493763932130948,0,8,0.0,0,0,1,0,1,1,2
RKLB.US,2025-09-17,-1.082372844350807,0,8,-12.57401924500371,0,0,2,0,1,1,2
RKLB.US,2025-09-19,-1.0263911387445448,0,8,-12.694300518134716,0,0,2,0,1,1,2
RKLB.US,2025-09-23,-1.856312406272906,0,8,-7.827535159141375,0,0,2,0,1,1,2
RKLB.US,2025-09-25,-0.2852267864783827,0,8,-9.90007401924501,0,0,2,0,1,1,2
RKLB.US,2025-09-29,-1.0294481565005278,0,7,-14.396743153219838,0,1,2,0,1,1,2
RKLB.US,2025-09-30,1.3461269841269752,1,8,-13.008882309400448,0,1,2,0,1,1,2
RKLB.US,2025-10-03,0.2534738346133219,1,8,-2.905255366395265,1,0,2,0,1,1,2
RKLB.US,2025-10-06,0.4652061855670096,1,8,0.0,1,0,2,1,1,1,2
RKLB.US,2025-10-07,-1.2698811626786644,0,8,0.0,1,0,2,1,1,1,2
RKLB.US,2025-10-14,-1.334510146471739,0,8,-1.505570611261664,0,0,1,0,1,1,2
RKLB.US,2025-10-23,-1.1097893105324474,0,8,-12.566767720513926,0,0,0,0,1,1,2
RKLB.US,2025-10-27,-1.058888442682199,0,8,-6.799480294499771,0,1,0,0,1,1,2
RKLB.US,2025-11-05,-0.9736265012474988,0,7,-18.334055146528073,0,1,0,0,0,1,1
