票,类,策略,胜率,PF,近期PF,全周期,近90,推荐
AAOI,真股,ORB5_Z,36,1.64,1.98,280.9,56.2,✅强
MXL,真股,ORB5_Z,38,1.63,2.7,140.8,105.2,✅强
SNDK,真股,ORB5_Z,37,1.44,2.02,110.8,56.7,✅强
ALAB,真股,ORB5_Z,39,1.4,1.8,79.8,47.4,✅强
DELL,真股,ORB5_Z,43,1.53,2.66,72.0,51.9,✅强
INTC,真股,ORB5_Z,36,1.35,1.56,55.5,24.6,✅强
CRWV,真股,ORB5_Z,30,1.36,1.52,53.4,23.0,✅强
CRCL,真股,ORB5_Z,37,1.39,1.38,45.4,21.6,✅强
MSFL,杠杆ETF,ORB5_Z,40,1.41,1.75,38.3,15.6,✅强
ORCL,真股,ORB5_Z,35,1.4,1.39,35.7,14.4,✅强
EOSE,真股,ST_10_3,50,1.48,1.33,17.2,,✅强
SOXL,杠杆ETF,ST_10_3,46,1.37,1.84,16.2,11.8,✅强
MU,真股,ST_10_3,51,1.53,1.67,10.6,3.0,✅强
PLTR,真股,ST_10_3,45,1.38,1.56,5.9,0.0,✅强
OKLO,真股,ORB5_Z,36,1.51,1.26,167.5,14.3,⚠️中等
IREN,真股,ORB5_Z,38,1.31,1.57,69.7,16.8,⚠️中等
LITE,真股,ORB5_Z,39,1.24,1.45,49.7,42.2,⚠️中等
TSLZ,反向ETF,ORB5_Z,37,1.34,1.18,49.7,2.9,⚠️中等
RKLB,真股,ORB5_Z,30,1.19,1.49,37.7,55.8,⚠️中等
ARM,真股,ORB5_Z,36,1.25,1.35,35.7,26.3,⚠️中等
MSFU,杠杆ETF,ORB5_Z,34,1.26,1.57,23.5,10.9,⚠️中等
NVDL,杠杆ETF,EMA_X,52,1.31,1.45,20.5,4.4,⚠️中等
HOOD,真股,EMA_X,51,1.16,0.97,10.9,0.5,⚠️中等
AMD,真股,ST_10_3,36,1.17,2.96,2.4,8.9,⚠️中等
CIFR,真股,ORB5_Z,31,1.14,1.42,20.9,27.4,⚠️弱
TSLL,杠杆ETF,TTM_SQ,43,1.1,1.07,11.3,2.7,⚠️弱
NBIS,真股,ORB5_Z,31,1.06,1.54,3.8,32.2,⚠️弱
AMZN,真股,无干净策略,0,0.0,0.0,0.0,0.0,❌不建议
MRVL,真股,无干净策略,0,0.0,0.0,0.0,0.0,❌不建议
NVDS,反向ETF,无干净策略,0,0.0,0.0,0.0,0.0,❌不建议
SOXS,反向ETF,无干净策略,0,0.0,0.0,0.0,0.0,❌不建议
