symbol,strategy,filled,phantom_rate_pct,win_rate,pf,cum_pct,max_dd,avg_pnl,recency_avg_pnl,recency_win_rate,recency_pf,last_90d_n,last_90d_win,last_90d_pf,last_90d_cum_pct,last_180d_n,last_180d_win,last_180d_pf,last_180d_cum_pct,n_tp,n_stop,composite_score,passes_filter,filter_fail_reasons,verdict
CRWV.US,ORB5_Z,111,0.0,28.8,1.29,36.76,-34.42,0.37,0.334,32.4,1.28,33,39.4,1.53,17.99,55,29.1,1.22,11.99,3,71,0.306,True,,OK
RKLB.US,DC20,112,47.9,50.0,1.32,17.03,-9.48,0.148,0.32,56.1,1.8,20,65.0,2.89,11.5,39,56.4,1.94,15.75,17,35,0.311,True,,OK
OKLO.US,ORB15_VWAP,29,74.8,48.3,1.39,12.88,-11.11,0.486,0.774,52.3,1.8,6,66.7,1.67,3.08,12,41.7,1.19,1.83,6,9,0.53,True,,OK
INTC.US,ORB5_Z,190,0.0,37.9,1.44,69.65,-21.36,0.304,0.825,47.7,2.22,38,52.6,2.34,40.72,67,49.3,2.38,75.64,3,107,0.812,True,,OK
IREN.US,ORB5_Z,163,0.0,36.8,1.32,79.03,-23.83,0.433,0.339,34.2,1.26,26,30.8,1.31,8.65,57,35.1,1.39,27.32,2,95,0.4,True,,OK
TSLL.US,VWAP_PB,28,47.2,39.3,1.47,8.12,-5.4,0.297,0.144,29.6,1.25,4,25.0,1.08,0.12,6,50.0,4.35,6.85,7,15,0.474,True,,OK
PLTR.US,ST_10_3,77,0.0,44.2,1.12,2.45,-6.72,0.035,0.097,47.4,1.42,2,50.0,0.57,-0.03,14,57.1,1.46,1.38,11,24,0.085,True,,OK
NBIS.US,ORB5_Z,165,0.0,30.9,1.12,16.14,-42.1,0.145,0.702,38.8,1.77,36,52.8,3.41,66.83,61,36.1,1.54,32.97,3,108,0.542,True,,OK
AMZN.US,ORB15_VWAP,24,84.8,45.8,1.31,1.48,-2.25,0.063,0.152,46.2,2.22,2,50.0,0.46,-0.23,7,28.6,1.25,0.2,1,0,0.097,True,,OK
SOXL.US,ST_10_3,67,0.0,46.3,1.29,9.54,-8.78,0.148,0.104,48.1,1.19,23,47.8,0.94,-0.96,38,47.4,1.4,8.25,7,28,0.147,True,,OK
NVDL.US,DC20,122,43.0,41.8,0.9,-6.49,-16.5,-0.048,0.066,49.5,1.19,20,50.0,1.32,2.18,37,54.1,1.48,5.18,12,48,0.065,True,,OK
TSLZ.US,ORB15_VWAP,35,50.7,54.3,1.72,22.49,-9.58,0.621,1.176,67.1,2.56,8,75.0,3.31,13.61,8,75.0,3.31,13.61,6,7,1.223,True,,OK
NVDS.US,DC20,51,51.9,41.2,1.35,6.17,-5.36,0.124,0.239,55.7,2.0,1,100.0,inf,0.65,1,100.0,inf,0.65,11,20,0.339,True,,OK
SOXS.US,DC20,53,47.0,37.7,1.05,0.78,-9.36,0.026,0.042,39.4,1.08,0,,,,0,,,,7,18,0.026,False,近期PF<1.1,FAIL_FILTER
HOOD.US,DC20,130,41.2,43.8,0.99,-1.06,-14.86,-0.003,0.095,48.3,1.33,20,55.0,1.43,2.35,37,43.2,1.45,4.52,15,45,0.084,True,,OK
AMD.US,EMA_X,135,0.0,38.5,0.82,-9.71,-19.21,-0.072,0.049,44.9,1.14,20,50.0,1.3,1.81,39,46.2,1.28,3.25,32,57,0.035,True,用户长持AMD,SKIP_LONG_HOLD
EOSE.US,ORB15_VWAP,33,74.0,45.5,1.31,10.76,-16.7,0.361,0.964,58.1,2.02,4,75.0,3.95,6.67,8,62.5,3.36,12.91,8,11,1.038,True,,OK
MSFL.US,ORB5_Z,170,0.0,40.0,1.34,31.56,-11.63,0.179,0.175,41.4,1.29,22,40.9,1.27,4.34,50,44.0,1.37,10.66,9,94,0.187,True,,OK
MSFU.US,VWAP_PB,22,62.1,45.5,1.1,0.51,-3.35,0.025,0.384,69.6,3.47,5,80.0,4.69,2.82,7,71.4,3.8,3.08,7,11,0.329,True,,OK
CIFR.US,VWAP_PB,28,47.2,42.9,1.55,10.43,-7.66,0.372,0.493,44.1,1.82,3,33.3,0.95,-0.11,7,57.1,3.3,7.61,10,14,0.647,True,,OK
CRCL.US,ORB5_Z,88,0.0,36.4,1.43,44.58,-14.36,0.506,0.527,40.1,1.5,34,44.1,1.69,22.45,52,38.5,1.26,12.76,0,53,0.438,True,,OK
SNDK.US,ORB5_Z,166,0.0,36.1,1.29,55.36,-39.01,0.322,0.638,37.4,1.59,38,34.2,1.51,20.92,71,39.4,1.8,72.22,1,93,0.689,True,,OK
LITE.US,ORB5_Z,201,0.0,37.8,1.19,37.03,-28.11,0.208,0.543,39.2,1.42,39,35.9,1.43,24.18,68,42.6,1.55,55.32,1,113,0.557,True,,OK
