symbol,strategy,优先级,last90ret,last90n,rec_win,rec_pf,rec_avg
MXL.US,ORB5_Z,1,105.2,36,48.4,2.7,1.368
SNDK.US,ORB5_Z,2,56.7,36,40.4,2.02,1.042
AAOI.US,ORB5_Z,3,56.2,27,37.7,1.98,1.513
DELL.US,ORB5_Z,4,51.9,31,55.5,2.66,0.883
ALAB.US,ORB5_Z,5,47.4,35,40.9,1.8,0.83
LITE.US,ORB5_Z,6,42.2,31,40.8,1.45,0.581
NBIS.US,ORB5_Z,7,32.2,33,38.0,1.54,0.56
ARM.US,ORB5_Z,8,26.3,37,38.3,1.35,0.354
INTC.US,ORB5_Z,9,24.6,34,41.4,1.56,0.503
CRWV.US,ORB5_Z,10,23.0,28,35.8,1.52,0.56
IREN.US,ORB5_Z,11,16.8,26,39.9,1.57,0.691
MSFL.US,ORB5_Z,12,15.6,25,43.3,1.75,0.421
ORCL.US,ORB5_Z,13,14.4,26,36.3,1.39,0.247
SOXL.US,ST_10_3,14,11.8,22,52.4,1.84,0.43
MSFU.US,ORB5_Z,15,10.9,22,39.9,1.57,0.342
AMD.US,ST_10_3,16,8.9,15,49.1,2.96,0.38
MU.US,ST_10_3,17,3.0,17,53.5,1.67,0.19
