symbol,strategy,filled,phantom_rate_pct,win_rate,pf,cum_pct,max_dd,avg_pnl,recency_avg_pnl,recency_win_rate,recency_pf,last_90d_n,last_90d_pf,last_90d_cum_pct,last_180d_n,last_180d_pf,last_180d_cum_pct,n_tp,n_stop,composite_score,passes_filter,filter_fail_reasons
MXL.US,ORB5_Z,183,0.0,38.3,1.63,140.85,-20.97,0.532,1.368,48.4,2.7,36,3.45,105.23,69,2.54,115.09,7,104,1.291,True,
MXL.US,ORB15_VWAP,48,70.4,50.0,1.23,6.9,-11.86,0.162,0.159,43.2,1.24,5,0.59,-2.15,10,0.84,-0.97,2,12,0.083,False,近半年PF<1.0
MXL.US,VWAP_PB,32,43.9,50.0,1.9,10.51,-3.52,0.322,0.285,44.8,1.55,7,1.18,0.76,13,2.12,5.74,12,15,0.339,True,
MXL.US,VWAP_MR,238,0.0,48.7,0.83,-17.73,-20.68,-0.076,-0.096,46.7,0.82,39,0.78,-5.46,86,0.86,-6.48,85,73,-0.086,False,近期PF<1.1|近半年PF<1.0
MXL.US,EMA_X,155,0.0,45.2,1.13,9.07,-8.73,0.063,0.052,43.8,1.1,27,1.18,2.35,53,0.91,-2.87,48,66,0.022,False,近半年PF<1.0
MXL.US,DC20,110,52.4,32.7,0.54,-22.36,-23.66,-0.226,-0.31,33.0,0.43,18,0.19,-10.03,36,0.53,-8.04,12,54,-0.267,False,近期PF<1.1|近半年PF<1.0
MXL.US,TTM_SQ,234,0.0,38.5,0.93,-11.02,-24.36,-0.041,0.042,42.6,1.07,44,1.08,1.81,81,1.09,3.1,56,122,0.024,False,近期PF<1.1
MXL.US,ST_10_3,81,0.0,38.3,1.14,3.6,-7.11,0.048,0.141,40.1,1.46,20,1.78,4.1,51,1.39,5.83,17,40,0.114,True,
ORCL.US,ORB5_Z,148,0.0,35.1,1.4,35.67,-18.61,0.225,0.247,36.3,1.39,26,1.93,14.43,53,1.03,0.1,1,91,0.169,True,
ORCL.US,ORB15_VWAP,31,80.6,54.8,1.21,2.23,-8.1,0.078,-0.552,41.2,0.32,3,0.13,-3.12,11,0.11,-8.06,3,6,-0.48,False,近期PF<1.1|近半年PF<1.0
ORCL.US,VWAP_PB,21,53.3,38.1,0.68,-2.05,-4.41,-0.097,-0.014,49.1,0.96,3,1.24,0.22,6,1.11,0.21,4,12,-0.016,False,近期PF<1.1
ORCL.US,VWAP_MR,227,0.0,42.7,0.67,-21.25,-23.03,-0.103,-0.06,47.3,0.81,38,0.91,-1.09,74,0.89,-2.67,65,70,-0.061,False,近期PF<1.1|近半年PF<1.0
ORCL.US,EMA_X,149,0.0,49.0,1.04,1.35,-4.85,0.012,-0.027,46.8,0.93,20,0.6,-3.89,37,0.79,-2.98,45,59,-0.035,False,近期PF<1.1|近半年PF<1.0
ORCL.US,DC20,118,44.1,43.2,0.8,-6.65,-9.49,-0.056,0.028,48.3,1.1,17,1.37,1.58,36,0.94,-0.67,12,47,-0.003,False,近半年PF<1.0
ORCL.US,TTM_SQ,240,0.0,37.1,0.73,-20.11,-24.72,-0.091,-0.042,40.5,0.88,42,1.01,0.05,80,0.73,-7.97,42,111,-0.069,False,近期PF<1.1|近半年PF<1.0
ORCL.US,ST_10_3,54,0.0,50.0,0.92,-1.02,-4.59,-0.018,0.118,67.9,1.73,3,inf,1.02,3,inf,1.02,9,22,0.157,True,
