symbol,strategy,filled,phantom_rate_pct,win_rate,pf,cum_pct,max_dd,avg_pnl,recency_avg_pnl,recency_win_rate,recency_pf,last_90d_n,last_90d_pf,last_90d_cum_pct,last_180d_n,last_180d_pf,last_180d_cum_pct,n_tp,n_stop,composite_score,passes_filter,filter_fail_reasons
AAOI.US,ORB5_Z,168,0.0,35.7,1.64,280.91,-25.14,0.925,1.513,37.7,1.98,27,2.08,56.18,57,2.15,141.46,3,101,1.686,True,
AAOI.US,ORB15_VWAP,31,71.8,54.8,1.92,24.6,-8.41,0.765,2.382,64.5,4.61,2,inf,12.74,9,2.84,16.15,4,5,1.882,True,
AAOI.US,VWAP_PB,18,64.0,77.8,5.92,25.78,-3.21,1.296,1.398,72.7,4.61,2,2.57,1.71,8,4.67,12.31,10,4,1.42,False,成交<20
AAOI.US,VWAP_MR,228,0.0,44.7,0.73,-45.07,-50.25,-0.244,-0.21,51.1,0.78,38,0.86,-6.03,74,0.76,-17.0,56,78,-0.223,False,近期PF<1.1|近半年PF<1.0|DD<-50%
AAOI.US,EMA_X,134,0.0,44.8,1.02,-0.14,-21.63,0.016,0.017,47.2,1.02,18,1.16,2.22,37,0.63,-14.33,43,55,-0.104,False,近期PF<1.1|近半年PF<1.0
AAOI.US,DC20,105,49.5,43.8,0.94,-5.62,-14.63,-0.042,-0.061,44.5,0.93,23,0.64,-8.63,41,1.11,2.96,11,41,-0.017,False,近期PF<1.1
AAOI.US,TTM_SQ,226,0.0,45.6,1.27,49.39,-15.33,0.197,0.118,41.7,1.15,43,0.96,-2.65,81,1.13,7.45,52,98,0.126,True,
AAOI.US,ST_10_3,57,0.0,49.1,1.27,8.95,-6.48,0.164,-0.046,44.8,0.94,17,0.61,-5.99,31,0.98,-1.01,8,24,0.0,False,近期PF<1.1|近半年PF<1.0
ARM.US,ORB5_Z,190,0.0,36.3,1.25,35.71,-24.76,0.197,0.354,38.3,1.35,37,1.57,26.27,69,1.2,11.72,2,108,0.267,True,
ARM.US,ORB15_VWAP,34,78.2,32.4,0.63,-8.43,-13.63,-0.246,0.109,38.3,1.19,5,6.51,5.68,9,1.09,0.32,0,6,0.016,True,
ARM.US,VWAP_PB,42,35.4,38.1,1.03,0.32,-4.05,0.012,-0.038,34.7,0.93,9,1.07,0.29,13,0.82,-1.62,11,24,-0.054,False,近期PF<1.1|近半年PF<1.0
ARM.US,VWAP_MR,221,0.0,48.4,0.82,-14.03,-20.77,-0.065,-0.032,50.9,0.92,29,1.16,1.91,73,1.05,0.97,68,68,-0.025,False,近期PF<1.1
ARM.US,EMA_X,136,0.0,46.3,1.05,1.68,-9.71,0.016,0.116,50.0,1.38,20,2.85,7.38,43,1.13,1.63,32,45,0.073,True,
ARM.US,DC20,131,39.4,40.5,0.77,-10.74,-19.35,-0.083,0.149,48.9,1.5,21,1.79,5.05,38,1.61,6.13,12,54,0.106,True,
ARM.US,TTM_SQ,227,0.0,42.3,1.11,7.48,-10.29,0.036,0.141,43.5,1.42,43,1.47,7.53,74,1.49,11.59,41,81,0.125,True,
ARM.US,ST_10_3,55,0.0,32.7,0.81,-3.51,-7.33,-0.062,0.18,51.4,1.59,13,1.75,2.85,13,1.75,2.85,8,21,0.143,True,
MU.US,ORB5_Z,194,0.0,33.0,0.99,-5.3,-22.49,-0.007,0.063,32.6,1.07,34,1.07,1.24,69,1.11,5.58,4,118,0.054,False,近期PF<1.1
MU.US,ORB15_VWAP,28,81.5,53.6,1.69,6.17,-3.37,0.222,0.269,64.1,1.53,6,1.62,2.14,7,1.75,2.61,1,2,0.291,True,
MU.US,VWAP_PB,23,54.9,47.8,1.31,2.42,-2.95,0.109,0.24,41.9,1.56,5,1.04,0.06,9,1.17,0.62,7,11,0.162,True,
MU.US,VWAP_MR,211,0.0,51.2,0.84,-13.52,-16.53,-0.065,-0.107,51.5,0.78,39,0.86,-3.16,73,0.7,-10.81,61,71,-0.111,False,近期PF<1.1|近半年PF<1.0
MU.US,EMA_X,140,0.0,45.7,0.98,-1.72,-12.56,-0.008,0.034,46.3,1.08,22,1.38,3.8,40,1.26,3.89,31,50,0.045,False,近期PF<1.1
MU.US,DC20,135,38.6,49.6,1.16,5.19,-10.14,0.041,0.315,57.4,2.36,19,3.47,10.74,46,2.38,14.32,9,34,0.259,True,
MU.US,TTM_SQ,250,0.0,41.2,0.9,-10.44,-22.99,-0.039,0.012,44.2,1.02,45,1.35,7.58,87,0.95,-2.86,42,109,-0.012,False,近期PF<1.1|近半年PF<1.0
MU.US,ST_10_3,83,0.0,50.6,1.53,10.55,-4.97,0.124,0.19,53.5,1.67,17,1.55,2.99,28,1.07,0.63,15,24,0.127,True,
MRVL.US,ORB5_Z,191,0.0,32.5,0.94,-10.82,-26.36,-0.042,0.185,36.1,1.24,35,1.44,12.5,68,1.19,7.92,3,117,0.119,True,
MRVL.US,ORB15_VWAP,29,82.2,55.2,3.09,19.17,-2.09,0.62,1.051,60.9,5.17,4,10.88,5.98,8,3.4,5.72,2,1,0.864,True,
MRVL.US,VWAP_PB,45,37.5,37.8,0.99,-0.38,-5.21,-0.003,-0.021,39.1,0.96,7,0.54,-2.74,16,1.25,1.97,10,24,0.026,False,近期PF<1.1
MRVL.US,VWAP_MR,230,0.0,49.1,0.88,-10.97,-17.26,-0.046,-0.083,48.1,0.82,30,0.95,-1.02,78,0.81,-6.36,78,68,-0.075,False,近期PF<1.1|近半年PF<1.0
MRVL.US,EMA_X,130,0.0,36.9,0.63,-22.52,-25.27,-0.191,-0.134,39.5,0.76,22,1.13,1.37,41,0.66,-7.74,26,62,-0.162,False,近期PF<1.1|近半年PF<1.0
MRVL.US,DC20,118,42.7,45.8,0.92,-3.87,-7.68,-0.029,-0.058,46.8,0.87,26,0.63,-4.89,40,0.98,-0.59,14,44,-0.039,False,近期PF<1.1|近半年PF<1.0
