symbol,strategy,filled,phantom_rate_pct,win_rate,pf,cum_pct,max_dd,avg_pnl,recency_avg_pnl,recency_win_rate,recency_pf,last_90d_n,last_90d_win,last_90d_pf,last_90d_cum_pct,last_180d_n,last_180d_win,last_180d_pf,last_180d_cum_pct,n_tp,n_stop,composite_score,passes_filter,filter_fail_reasons
CRWV.US,ORB5_Z,108,0.0,26.9,1.23,26.7,-34.42,0.308,0.147,26.9,1.11,31,32.3,1.21,6.18,52,25.0,1.11,3.75,3,71,0.157,True,
CRWV.US,ORB15_VWAP,26,71.7,34.6,0.49,-17.0,-26.07,-0.683,-0.87,34.8,0.31,3,33.3,0.36,-2.2,8,37.5,0.15,-7.63,2,9,-0.858,False,近期PF<1.1|近半年PF<1.0
CRWV.US,VWAP_PB,25,40.5,36.0,0.53,-10.7,-12.89,-0.438,-0.129,33.6,0.82,6,33.3,0.87,-0.58,12,33.3,0.86,-1.27,4,15,-0.184,False,近期PF<1.1|近半年PF<1.0
CRWV.US,VWAP_MR,179,0.0,41.3,0.65,-40.88,-49.37,-0.279,-0.133,45.1,0.8,37,48.6,0.98,-0.87,80,47.5,0.88,-6.68,44,68,-0.147,False,近期PF<1.1|近半年PF<1.0
CRWV.US,EMA_X,106,0.0,40.6,0.63,-30.52,-32.18,-0.328,-0.354,35.3,0.57,30,30.0,0.45,-13.15,46,26.1,0.44,-21.69,20,49,-0.384,False,近期PF<1.1|近半年PF<1.0
CRWV.US,DC20,89,39.5,46.1,1.19,9.07,-15.61,0.113,-0.18,39.3,0.69,16,31.2,0.52,-4.93,32,37.5,0.49,-9.23,11,31,-0.154,False,近期PF<1.1|近半年PF<1.0
CRWV.US,TTM_SQ,170,0.0,38.8,0.8,-23.16,-32.59,-0.142,-0.29,33.8,0.61,45,24.4,0.35,-21.98,80,33.8,0.61,-21.26,25,82,-0.253,False,近期PF<1.1|近半年PF<1.0
CRWV.US,ST_10_3,52,0.0,42.3,1.0,-0.69,-9.58,0.004,-0.312,27.5,0.55,8,12.5,0.15,-5.27,14,14.3,0.18,-8.75,10,24,-0.343,False,近期PF<1.1|近半年PF<1.0
RKLB.US,ORB5_Z,195,0.0,26.7,0.95,-25.34,-45.34,-0.075,-0.05,30.3,0.96,33,33.3,1.0,-1.39,62,29.0,0.92,-9.21,0,131,-0.085,False,近期PF<1.1|近半年PF<1.0
RKLB.US,ORB15_VWAP,31,78.0,48.4,1.34,7.36,-7.9,0.257,0.209,53.0,1.3,4,50.0,1.34,0.97,11,45.5,0.88,-1.41,2,5,0.117,False,近半年PF<1.0
RKLB.US,VWAP_PB,25,58.3,44.0,1.12,1.7,-3.48,0.08,0.074,42.6,1.13,6,50.0,1.37,1.23,8,37.5,0.96,-0.26,8,13,0.043,False,近半年PF<1.0
RKLB.US,VWAP_MR,247,0.0,48.2,0.91,-14.72,-30.78,-0.055,-0.029,50.5,0.95,49,53.1,1.0,-0.33,90,54.4,1.08,3.28,74,73,-0.015,False,近期PF<1.1
RKLB.US,EMA_X,147,0.0,47.6,0.9,-11.93,-14.04,-0.074,-0.175,41.7,0.77,23,26.1,0.42,-12.46,48,45.8,0.85,-5.35,37,59,-0.136,False,近期PF<1.1|近半年PF<1.0
RKLB.US,DC20,110,48.1,49.1,1.26,13.39,-9.48,0.122,0.223,52.7,1.52,21,57.1,1.6,5.31,38,52.6,1.63,10.97,16,35,0.223,True,
RKLB.US,TTM_SQ,236,0.0,38.1,0.76,-34.44,-36.61,-0.168,-0.189,36.2,0.74,32,37.5,1.02,0.11,70,35.7,0.74,-13.68,41,117,-0.187,False,近期PF<1.1|近半年PF<1.0
RKLB.US,ST_10_3,95,0.0,41.1,0.82,-9.61,-15.74,-0.099,0.054,49.9,1.11,17,58.8,1.45,3.3,31,45.2,0.91,-2.0,15,44,-0.012,False,近半年PF<1.0
OKLO.US,ORB5_Z,168,0.0,33.3,1.33,90.28,-35.09,0.513,0.163,31.7,1.12,32,28.1,1.02,-1.14,55,27.3,0.77,-18.0,1,107,0.086,False,近半年PF<1.0
OKLO.US,ORB15_VWAP,29,74.6,48.3,1.39,12.88,-11.11,0.486,0.774,52.3,1.8,7,71.4,3.06,10.12,12,41.7,1.19,1.83,6,9,0.53,True,
OKLO.US,VWAP_PB,35,45.3,31.4,0.83,-6.23,-14.0,-0.163,-0.403,23.4,0.56,10,20.0,0.49,-4.2,16,31.2,0.83,-2.3,7,21,-0.277,False,近期PF<1.1|近半年PF<1.0
OKLO.US,VWAP_MR,230,0.0,46.5,0.87,-22.06,-30.62,-0.095,-0.21,43.4,0.69,43,48.8,0.81,-5.19,80,40.0,0.59,-21.63,54,58,-0.205,False,近期PF<1.1|近半年PF<1.0
OKLO.US,EMA_X,129,0.0,45.0,0.97,-5.61,-18.05,-0.026,-0.287,39.4,0.69,20,35.0,0.58,-8.09,39,41.0,0.7,-9.74,36,55,-0.224,False,近期PF<1.1|近半年PF<1.0
OKLO.US,DC20,123,41.7,45.5,0.93,-7.75,-16.83,-0.052,0.004,44.8,1.01,20,40.0,0.75,-3.0,35,48.6,1.25,3.85,14,41,0.025,False,近期PF<1.1
OKLO.US,TTM_SQ,245,0.0,39.6,0.86,-27.86,-48.2,-0.117,-0.003,45.1,1.0,38,52.6,1.31,6.64,76,44.7,1.02,-0.12,44,118,-0.025,False,近期PF<1.1
OKLO.US,ST_10_3,64,0.0,43.8,0.84,-7.3,-9.76,-0.109,-0.132,40.6,0.81,3,33.3,0.25,-1.55,13,30.8,0.59,-4.78,8,28,-0.198,False,近期PF<1.1|近半年PF<1.0
INTC.US,ORB5_Z,186,0.0,37.1,1.36,50.65,-21.36,0.245,0.627,45.3,1.93,37,48.6,1.89,24.41,65,47.7,2.21,59.41,3,106,0.637,True,
INTC.US,ORB15_VWAP,30,80.0,33.3,0.23,-15.12,-15.75,-0.539,-0.391,47.5,0.29,7,71.4,0.79,-0.43,10,50.0,0.41,-2.28,0,6,-0.372,False,近期PF<1.1|近半年PF<1.0
INTC.US,VWAP_PB,29,52.5,31.0,0.59,-5.31,-6.11,-0.185,-0.161,34.9,0.66,6,33.3,0.69,-0.99,12,41.7,0.74,-1.38,6,18,-0.152,False,近期PF<1.1|近半年PF<1.0
INTC.US,VWAP_MR,233,0.0,41.2,0.54,-34.92,-35.4,-0.181,-0.204,40.2,0.53,37,45.9,0.8,-2.97,74,37.8,0.51,-15.26,55,74,-0.2,False,近期PF<1.1|近半年PF<1.0
INTC.US,EMA_X,126,0.0,38.1,0.62,-20.35,-22.27,-0.177,-0.149,43.7,0.68,15,53.3,0.55,-3.55,30,36.7,0.58,-6.28,30,55,-0.173,False,近期PF<1.1|近半年PF<1.0
INTC.US,DC20,122,39.3,42.6,0.95,-2.0,-7.38,-0.014,0.039,41.3,1.12,18,38.9,1.16,0.94,38,36.8,0.97,-0.56,11,43,0.012,False,近半年PF<1.0
INTC.US,TTM_SQ,255,0.0,36.5,0.71,-27.14,-29.5,-0.121,-0.067,42.2,0.83,43,48.8,0.91,-1.64,78,43.6,0.95,-1.84,48,132,-0.065,False,近期PF<1.1|近半年PF<1.0
INTC.US,ST_10_3,56,0.0,35.7,0.44,-10.7,-11.19,-0.2,-0.157,39.2,0.5,16,50.0,0.74,-1.01,26,38.5,0.45,-4.56,4,26,-0.171,False,近期PF<1.1|近半年PF<1.0
IREN.US,ORB5_Z,163,0.0,36.8,1.32,79.03,-23.83,0.433,0.339,34.2,1.26,28,32.1,1.34,10.25,59,33.9,1.33,23.49,2,95,0.376,True,
IREN.US,ORB15_VWAP,32,76.6,50.0,1.08,1.45,-13.97,0.085,-0.463,42.1,0.63,2,0.0,0.0,-4.09,6,33.3,0.25,-7.58,2,8,-0.594,False,近期PF<1.1|近半年PF<1.0
IREN.US,VWAP_PB,24,60.7,45.8,1.29,4.24,-5.08,0.185,0.359,49.7,1.61,4,50.0,1.57,1.3,6,50.0,1.71,2.55,7,12,0.344,True,
IREN.US,VWAP_MR,228,0.0,51.3,0.96,-8.52,-24.01,-0.028,-0.001,50.7,1.0,39,53.8,1.24,4.97,80,47.5,0.9,-6.46,69,68,-0.03,False,近期PF<1.1|近半年PF<1.0
IREN.US,EMA_X,137,0.0,48.9,1.1,8.08,-14.08,0.073,-0.033,48.6,0.96,18,44.4,0.68,-5.46,41,53.7,1.18,5.05,42,55,0.035,False,近期PF<1.1
IREN.US,DC20,114,45.2,46.5,0.89,-8.52,-22.69,-0.069,0.232,55.6,1.45,25,56.0,1.49,6.23,40,57.5,1.68,14.5,13,45,0.211,True,
IREN.US,TTM_SQ,251,0.0,39.8,0.87,-24.29,-33.12,-0.097,-0.123,39.4,0.83,43,37.2,0.82,-5.63,81,42.0,0.77,-14.17,43,124,-0.133,False,近期PF<1.1|近半年PF<1.0
IREN.US,ST_10_3,77,0.0,33.8,0.89,-6.24,-11.11,-0.074,0.039,41.0,1.06,19,42.1,0.98,-0.39,31,38.7,0.94,-1.56,15,38,-0.01,False,近期PF<1.1|近半年PF<1.0
