ticker,sector,type,ann_vol_pct,entry,cta,exit,score,calmar,cagr_pct,max_dd_pct,sharpe,win_rate,n_trades,in_market_pct
LWLG,🌐 光子/高速连接,A,123.3,ema20_dip+obv,combo,ema_x,4.7,0.28,13.8,-49.8,0.41,43.8,64,11.8
SNDK,💾 存储,B,94.0,ema2060,soxx,rsi_fade,3.97,36.12,1394.6,-38.6,3.47,55.6,27,67.5
CIEN,🌐 光子/高速连接,A,62.1,ema20_dip,soxx,rsi80,3.94,0.28,15.0,-52.7,0.45,59.2,71,49.7
VIAV,🌐 光子/高速连接,A,55.9,ema20_dip,soxx,trail_12,3.82,0.41,16.7,-40.7,0.54,50.0,38,54.2
MU,💾 存储,A,58.8,bb_lo,none,rsi80,3.48,0.42,18.3,-43.9,0.52,78.4,37,40.2
TSEM,🌐 光子/高速连接,A,59.2,ema2060,soxx,ema_x,3.43,0.96,31.5,-32.9,0.91,55.9,34,57.5
GLW,🌐 光子/高速连接,B,46.2,ema20_dip,combo,trail_12,3.42,0.42,17.7,-42.2,0.61,52.4,21,60.6
AAOI,🌐 光子/高速连接,A,132.4,ema20_dip+obv,soxx,rsi_fade,3.38,0.49,23.7,-48.1,0.64,48.5,68,13.5
GEV,🏗 AI电力/数据中心,B,46.6,obv_up,soxx,rsi80,3.35,3.74,93.9,-25.1,1.68,78.6,42,68.8
AEHR,⚡ 半导体/AI算力,A,112.0,vol_surge,smh,rsi_fade,3.31,0.18,13.6,-75.3,0.38,39.5,76,22.1
MRVL,⚡ 半导体/AI算力,B,58.0,ema_cross,combo,ma_x,3.31,0.38,14.0,-36.8,0.48,53.3,15,32.1
PL,🚀 太空/机器人,A,106.7,ema20_dip+obv,smh,rsi70,3.23,0.45,16.9,-37.5,0.47,60.0,25,13.3
COHR,🌐 光子/高速连接,A,68.3,ema20_dip,none,ema_x,3.2,0.1,7.8,-73.9,0.25,33.3,57,48.3
VRT,🏗 AI电力/数据中心,B,58.0,ema2060,qqq,trail_12,3.16,1.39,51.4,-36.9,1.18,55.4,74,66.5
LITE,🌐 光子/高速连接,A,80.0,vol_surge,spy,trail_12,3.16,0.28,12.9,-46.8,0.39,45.2,42,38.6
TER,🚀 太空/机器人,A,58.3,ema20_dip+obv,spy,trail_8,3.15,0.63,17.5,-27.7,0.59,51.2,80,41.7
WDC,💾 存储,A,61.9,cmf_pos,smh,cmf_neg,3.13,0.12,8.1,-66.1,0.24,36.2,58,40.3
STX,💾 存储,A,61.5,ma5200,soxx,ma_x,3.11,0.52,19.9,-37.9,0.59,47.9,71,57.0
NBIS,⚡ 半导体/AI算力,A,101.5,rsi28,none,cmf_neg,3.1,4.57,79.8,-17.5,1.52,76.5,17,8.8
XPO,🚚 物流/运输,B,46.4,ma5200,smh,ma_x,2.94,0.68,29.2,-42.9,0.8,48.4,64,62.2
BE,🏗 AI电力/数据中心,B,102.0,dc20|ema,none,obv_down,2.84,1.08,41.4,-38.1,0.8,46.5,43,25.1
PWR,🏗 AI电力/数据中心,B,33.4,ema20_dip,smh,rsi80,2.84,0.44,20.4,-46.8,0.7,81.0,79,59.9
CLS,🌐 光子/高速连接,A,67.3,ema_cross,combo,ma_x,2.84,0.58,17.1,-29.4,0.61,64.3,14,23.1
KLAC,⚡ 半导体/AI算力,B,44.9,bb_lo,none,rsi_fade,2.82,0.6,22.4,-37.2,0.65,82.8,29,44.4
SOXX,⚡ 半导体/AI算力,B,32.6,bb_lo,smh,trail_8,2.82,0.68,7.6,-11.2,0.38,77.6,49,5.2
ITT,🏭 工业/航天制造,C,29.5,vol_surge,none,rsi80,2.82,0.32,9.8,-30.6,0.32,70.6,68,44.6
ASML,⚡ 半导体/AI算力,B,39.2,bb_lo,smh,trail_12,2.81,0.63,12.8,-20.3,0.63,67.4,43,15.8
HOOD,🪙 加密/Fintech,A,67.0,dc20,combo,trail_12,2.81,1.73,44.1,-25.6,1.12,71.4,14,31.9
AVGO,⚡ 半导体/AI算力,B,42.7,rsi28,none,rsi80,2.79,0.3,12.5,-41.4,0.44,82.8,64,16.4
FN,🌐 光子/高速连接,A,61.7,bb_lo,none,rsi80,2.78,0.74,23.3,-31.5,0.69,81.1,37,31.1
AMD,⚡ 半导体/AI算力,A,58.5,ema_cross,soft,cmf_neg,2.77,0.68,19.1,-28.2,0.58,50.0,18,17.7
ODFL,🚚 物流/运输,B,40.0,bb_lo,none,ma_x,2.75,0.28,9.4,-33.6,0.31,63.8,47,34.1
CMI,🚚 物流/运输,B,31.1,bb_lo,none,trail_12,2.74,0.35,9.4,-26.9,0.34,65.5,58,29.8
CAT,🏭 工业/航天制造,B,31.9,ema20_dip+obv,none,trail_8,2.72,0.25,10.1,-39.8,0.33,40.4,47,52.4
TSM,⚡ 半导体/AI算力,B,35.1,bb_lo,soxx,trail_12,2.71,0.17,4.1,-24.0,-0.04,51.6,31,15.3
DE,🏭 工业/航天制造,C,28.2,vol_surge,xlv,rsi80,2.7,0.08,4.0,-50.2,0.02,74.0,50,29.6
EME,🏭 工业/航天制造,B,37.9,vol+ema,soft,rsi70,2.7,0.48,10.3,-21.5,0.45,73.4,79,20.5
MP,🔋 电池/稀土,A,94.5,rsi35,soxx,rsi80,2.7,0.17,9.1,-54.3,0.27,65.0,40,25.4
HWM,🏭 工业/航天制造,C,30.0,ema20_dip,combo,rsi80,2.69,0.61,22.6,-37.2,0.73,80.0,65,60.2
