sym,ma,px,man,dev,dist,cal,sw90,uptrend
AMD,20E,511.57,474.1313982079603,1.1325289156470923,7.896250265969229,9.5,122,True
TSM,20E,423.93,417.9664515095635,0.3482040214342497,1.426800756112856,6.6,13,True
ON,20E,116.79,116.58201317945718,0.06546263630750088,0.17840386768983585,3.8,74,True
MCHP,20E,95.24,92.8774415511086,0.4402736563332602,2.543737649783684,5.2,24,True
TXN,20E,301.12,295.70586391425337,0.4121129475808248,1.8309194190740063,4.7,41,True
CRDO,10E,250.81,233.87224908829754,1.1809584535454034,7.242308986094237,9.9,65,True
UMC,10E,21.63,20.492988412810337,1.370232227751609,5.548295662329594,9.6,121,True
ASX,20E,38.12,35.94147143377828,0.8490346267410664,6.061322698586857,13.3,45,True
NBIS,10E,232.36,227.28436744331808,0.5217416191799609,2.2331639495390077,13.6,63,True
CRWD,20E,682.8,657.2445064903112,0.6750953577980571,3.88827799355147,4.9,46,True
DDOG,20E,229.9,224.8349334957105,0.41446452896996816,2.25279338292248,6.4,64,True
IREN,10E,59.77,58.09486405102088,0.3428580888141416,2.8834492968396797,18.1,0,True
CIFR,20E,24.5,22.828864220300943,0.6592677713096419,7.32027561061479,5.8,31,True
AAOI,50S,169.05,165.2374,-0.3048645880442658,2.3073468839378997,9.8,75,True
LITE,50S,921.56,900.737,0.20643458793497732,2.311773580967591,28.0,20,True
OUST,20E,39.8,38.79759824323582,0.2265509457082338,2.5836696139791115,5.5,34,True
NOK,10E,14.8,14.686916099520596,0.26366616272236804,0.769963549278363,10.7,56,True
SOXX,20E,596.25,555.9175909914816,1.197328938118358,7.255105731873934,9.7,57,True
7747hk,10E,180.2,171.82431179032164,0.5399623274133589,4.874565259367514,19.1,82,True
7709hk,10E,119.9,113.18110510690113,0.6688669887617985,5.936410398849512,8.6,141,True
