symbol,name,days,buyhold,bh_dd,best_ma,swing_ret,swing_dd,calmar,verdict,r10,r20,r50,swing90
MXL.US,MXL,300,727,-30,50S,383,-31,12.5,✅波段好,215,308,383,369.7
SOXL.US,半导体3x,300,1964,-43,50S,655,-36,18.4,✅波段好,455,474,655,247.7
MRVL.US,MRVL,300,405,-26,50S,169,-31,5.5,✅波段好,96,102,169,218.5
SNDK.US,SNDK,300,5075,-31,50S,3522,-31,112.4,✅波段好,2211,2475,3522,169.7
DELL.US,DELL,300,423,-32,20E,322,-21,15.6,✅波段好,253,322,221,161.7
INTC.US,INTC,300,455,-24,50S,302,-30,10.1,✅波段好,277,146,302,142.4
7709.HK,海力士2x,160,1064,-53,10E,393,-46,8.6,✅波段好,393,413,341,140.5
MU.US,MU,300,1224,-30,20E,866,-21,41.0,✅波段好,667,866,570,129.0
AMD.US,AMD,300,445,-28,20E,315,-33,9.5,✅波段好,249,315,208,122.4
ARM.US,ARM,300,290,-41,20E,161,-28,5.8,✅波段好,149,161,138,117.8
7747.HK,三星2x,258,1858,-48,10E,785,-41,19.1,✅波段好,785,725,741,81.8
AAOI.US,AAOI,300,1218,-48,50S,471,-48,9.8,✅波段好,104,161,471,74.6
3076.HK,港股3076,300,179,-25,50S,138,-13,10.6,✅波段好,94,114,138,67.0
0522.HK,ASMPT,300,243,-26,50S,212,-17,12.5,✅波段好,111,139,212,65.0
NBIS.US,NBIS,300,967,-45,10E,311,-23,13.6,✅波段好,311,253,219,63.2
SOXX.US,半导体ETF,300,252,-16,20E,148,-15,9.7,✅波段好,110,148,112,56.7
RKLB.US,RKLB,300,472,-43,20E,306,-47,6.5,✅波段好,161,306,131,31.4
CIFR.US,CIFR,300,961,-51,20E,315,-54,5.8,✅波段好,258,315,238,31.2
LITE.US,LITE,300,1624,-29,50S,808,-29,28.0,✅波段好,267,391,808,20.3
IREN.US,IREN,300,890,-59,10E,586,-32,18.1,✅波段好,586,597,513,0.1
OKLO.US,OKLO,300,163,-74,10E,177,-39,4.6,✅波段好,177,168,26,0.0
MSFL.US,微软2x,300,-7,-59,20E,56,-13,4.4,✅波段好,36,56,-4,0.0
CRWV.US,CRWV,300,87,-65,20E,190,-29,6.6,✅波段好,147,190,-49,-9.5
