ticker,sector,rank,entry,cta,exit,score,win_rate,ret_1m,ret_3m,ret_ytd,cagr_1y,dd_1y
AAOI,🌐 光子/高速连接,1,ema20_dip,qqq,rsi_fade,6.46,58.5,81.8,408.2,501.2,566.3,-49.2
AAOI,🌐 光子/高速连接,2,dc20+cmf,spy,ema_x,5.75,55.6,72.1,330.9,357.3,330.2,-50.7
AAOI,🌐 光子/高速连接,3,mfi_os,qqq,rsi80,0.96,67.2,0.0,0.0,0.0,33.9,-18.7
AEHR,⚡ 半导体/AI算力,1,vol+ema,none,ma_x,5.19,55.3,131.0,216.1,315.4,407.3,-42.3
AEHR,⚡ 半导体/AI算力,2,ema_cross,combo,ma_x,5.18,56.2,131.0,216.1,212.3,255.5,-31.6
AEHR,⚡ 半导体/AI算力,3,rsi28,none,rsi70,2.64,73.4,0.0,14.4,25.4,47.4,-11.3
LWLG,🌐 光子/高速连接,1,ma5200,combo,rsi80,4.77,66.7,70.0,213.2,316.6,667.4,-50.3
LWLG,🌐 光子/高速连接,2,dc20|ema,none,ma_x,4.53,49.3,88.0,173.2,287.0,469.0,-50.1
LWLG,🌐 光子/高速连接,3,bb_lo,soft,rsi_fade,1.3,72.0,0.0,0.0,42.1,38.8,-21.3
SNDK,💾 存储,1,ema2060,none,rsi_fade,4.14,72.7,36.9,142.2,317.6,2501.4,-31.3
SNDK,💾 存储,2,cmf_pos,none,rsi_fade,4.14,77.8,36.9,142.2,317.6,2168.8,-31.3
SNDK,💾 存储,3,rsi35,combo,ma_x,3.09,100.0,20.7,34.3,34.3,58.0,-5.5
LITE,🌐 光子/高速连接,1,dc20+cmf,soxx,ma_x,4.04,60.0,27.6,160.5,142.6,866.3,-28.7
LITE,🌐 光子/高速连接,2,dc20|ema,soxx,ma_x,4.03,56.6,27.6,160.5,142.6,832.8,-28.7
LITE,🌐 光子/高速连接,3,bb_lo,soxx,rsi80,2.54,84.6,0.0,0.0,0.0,19.5,-4.1
CIEN,🌐 光子/高速连接,1,ema20_dip,none,rsi80,3.96,67.1,48.4,133.8,159.0,488.7,-14.0
CIEN,🌐 光子/高速连接,2,dc20|ema,qqq,ma_x,3.62,59.1,31.7,108.1,117.0,503.0,-16.8
CIEN,🌐 光子/高速连接,3,rsi28,none,rsi80,2.51,70.0,0.0,0.0,0.0,24.5,-3.8
VIAV,🌐 光子/高速连接,1,dc20|ema,qqq,ema_x,3.86,48.6,36.1,134.1,147.7,326.1,-21.1
VIAV,🌐 光子/高速连接,2,vol_surge,none,ema_x,3.86,51.1,36.1,134.1,147.7,330.4,-21.1
VIAV,🌐 光子/高速连接,3,bb_lo,combo,rsi_fade,1.72,65.4,0.0,0.0,0.0,18.6,-4.2
NBIS,⚡ 半导体/AI算力,1,ema20_dip,none,rsi70,3.8,84.6,36.4,108.4,108.4,399.8,-43.1
NBIS,⚡ 半导体/AI算力,2,rsi28,combo,ema_x,3.06,72.7,17.6,39.1,39.1,72.6,-12.4
NBIS,⚡ 半导体/AI算力,3,rsi35,smh,ma_x,3.03,90.9,17.6,27.9,27.9,192.4,-18.7
TSEM,🌐 光子/高速连接,1,ema20_dip,qqq,ema_x,3.62,53.8,59.5,82.6,92.9,456.5,-25.0
TSEM,🌐 光子/高速连接,2,vol+ema,combo,ma_x,3.62,66.7,59.5,82.6,92.9,345.6,-25.0
TSEM,🌐 光子/高速连接,3,bb_lo,none,rsi80,2.72,70.6,0.0,24.9,24.9,52.8,-3.5
PL,🚀 太空/机器人,1,ma5200,soft,rsi70,3.6,62.5,71.2,71.2,88.8,432.4,-32.7
